kode_user,message,clean_text,severity,predicted_severity
KT0964,"Dear Pelanggan Kapten Dwi Wulandari,  Terima kasih telah melakukan perpanjangan masa aktif wifi di Mitra Bayar sps.  ID Pelanggan   : KT0964 Nama Pelanggan  : Dwi Wulandari Paket Layanan   : 5 Masa aktif berlaku sampai : 22-August-2025  Terima kasih atas kepercayaan Anda menggunakan layanan kami.",dear langgan kapten dwi wulandari terima kasih panjang aktif wifi mitra bayar sps id langgan nama langgan dwi wulandari paket layan aktif laku august terima kasih percaya layan,1,1
KT0280,"enggak kak, mau berhenti langganan aja",tidak kak henti langgan,4,1
JT1053,Permisi mau konfirmasi ini kenapa ya,permisi konfirmasi iya,1,1
KD0568,Tp tiba2 mati tidak ada internet,mati tidak internet,2,2
"KI1033, KI1166","Layanan internet kami bermasalah : Dr.H . Ludi Wishnu Wardana, ST. SE. SPd. MM. Hp. 08123578267 D/a Perumahan La Tansa Cluster  Jl. Tirto Joyo No.30 Blok B5,  Merjosari, Kec. Lowokwaru, Kota Malang, Jawa Timur   65144",layan internet masalah dr h ludi wishnu wardana st sepeda mm hp a rumah tansa cluster jl tirto joyo blok b merjosari camat lowokwaru kota malang jawa timur,2,2
KD1282,Dudah saya bayar  di kantor,dudah bayar kantor,1,1
STKP0036,untuk keperluan pribadi saja kak. Untuk perbedaan paket reguler dan superstar apa ya kak?,perlu pribadi kak beda paket reguler superstar iya kak,1,1
GJ0357,Sementara bisa bayar pakai cara biasa? Transfer?,bayar pakai transfer,1,1
GJ0357,Kalau susah apa saya berhenti berlangganan ya? Atau ada solusi?,susah henti langgan iya solusi,4,1
KT1763,"Kak, kalo misal ganti layanan atau paket ke yang 99rb/bulan bisa kah?",kak ganti layan paket rb,1,1
GJ0357,Sementara saya bayar Pakai ini dulu,bayar pakai,1,1
KD1612,"Slmt pagi. Mohon petunjuk ttg cara pembayaran yg baku. Virtual Account ""154.....607 - SPARKPAY"" nya mungkin error. Setiap melakukan akses utk pembayaran, selalu gagal dg muncul ""(02) Tagihan kedaluarsa"" Trmkasih. (ID Pelanggan KD1612) Nama pelanggan : Imam Sudjono.",slmt pagi mohon tunjuk bayar baku virtual account sparkpay nya error akses bayar gagal dg muncul tagih kedaluarsa trmkasih id langgan kd nama langgan imam sudjono,1,1
KI0840,Utk pelanggan ada promo ga kak klu utk tambah mbps?,langgan promo ga kak klu mbps,1,1
KI1738,"Kalo susah operasional nya, kami kecewa ini",susah operasional nya kecewa,3,1
JT0374,"Saya sudah bilang gak punya VA BCA ,jadi kalau bayar di Alfamart bisa kan ??",bilang gak va bca bayar alfamart,1,1
JT0734,Sudah saya bayar,bayar,1,1
GJ0357,Tolong di cek,cek,1,1
KI0840,Kak paket superstar itu apa?,kak paket superstar,1,1
KT1763,Bayar awal 300rb gitu ta kak?,bayar rb ta kak,1,1
GI0042,Pembayaran tagihan GI0042,bayar tagih gi,1,1
KT1763,Maksudnya modem paket itu gimana kak?,maksud modem paket kak,1,1
KP2273,Masih perjalanan sepertinya 15menit yg lalu sudah konfirmasi,jalan menit konfirmasi,1,1
STJT0013,"sudah sy cek semua, sudah ok kak",cek ok kak,1,1
KT0905,Sudah di bayar ya kak,bayar iya kak,1,1
KI2857,Harus ada kode dari admin,kode admin,1,1
KI2161,Mulai dri kmarn sblom tgl 21 udh tf k bca kok gk bsa... Umpma mintk rek bank yg lain bsa p gak...,kmarn sblom tanggal udh tf bca gk umpma mintk rek bank p gak,1,1
KI3378,Pasang naratel bisa kapan,pasang naratel,1,1
KJ1442,Mbk.aq sudah bayar wifi 2 hari yg lalu.,mbk bayar wifi,1,1
KJ1442,Ini bukti oembayarnya,bukti oembayarnya,1,1
KJ1442,TPI Wifi-nya kok gak bisa nyala . Knapa,wifi nya gak nyala knapa,1,1
KJ1442,Tlong di cek mbk,tlong cek mbk,1,1
KJ1442,Yawes. Samean cek knpa. Kok gak bisa,yawes samean cek gak,1,1
KP2252,Ya wes bayar tunai saat pemasangan makasih ya sebelumya,iya wes bayar tunai pasang terima kasih iya sebelumya,1,1
"GJ0333, KJ0477, KJ2338","selamat siang, bukti down 5 mbps KJ2338, mohon di cek",selamat siang bukti down mbps kj mohon cek,1,1
KT1763,nanti tiap bulannya bayar berapa kak?,bulan bayar kak,1,1
KI2804,"belum bisa kak, yang nyala masih sama kayak gini",belum kak nyala kayak gin,1,1
KI2804,sekarang lampu yang nyala persis kayak gini kak,lampu nyala persis kayak gin kak,1,1
KI2804,wifi nya kok tiba2 mati ya,wifi nya mati iya,2,2
KI2804,"modemnya mati kak, udah coba ngelepas adaptor nya trs di tancap kan lagi tp ga nyala juga",modem mati kak coba ngelepas adaptor nya tancap ga nyala,1,1
KI2804,perlu di copot pasang lagi atau engga kak adaptor nya?,copot pasang engga kak adaptor nya,1,1
"KI1033, KI1166",Tlg tagihan sy bisa diposting ulang...,tlg tagih diposting ulang,1,1
"KI1033, KI1166",Yg alamat ini KI berapa,alamat ki,1,1
"KI3184, STKN0003, KN0626",Mau ganti paket wifi,ganti paket wifi,1,1
KI3376,Kak apakah bisa pengajuan kembali ngge? Soalnya kami di dirugikan oleh sales provider lain terkait tepat waktunya pemasangan. Ini untuk kebutuhan kerja soalnya,kak aju ngge rugi sales provider kait pasang butuh kerja,3,1
"KI3184, STKN0003, KN0626",Iya kak mau ganti paket yg 5 mbps aja kak,iya kak ganti paket mbps kak,1,1
KI3376,"Kak, mohon dibantu mengisi data pemasangan terlebih dahulu untuk saya bantu daftarkan😊  Nama: M FAWAIDUL MUHARROM No. Telepon: 081917601604 Alamat Pemasangan: Jln. Perum Joyo Grand Blok X/ No. 159 Kel. Merjosari Kec. Lowokwaru Kelurahan: Merjosari Paket: 10 MBPS Foto KTP: Foto Tampak Depan Rumah: Tahu Kapten Naratel dari Mana: Sebelumnya Pernah Pakai namun Lain tempat tinggal  Terima kasih 😊",kak mohon bantu isi data pasang bantu daftar nama m fawaidul muharrom telepon alamat pasang jalan perum joyo grand blok x lurah merjosari camat lowokwaru lurah merjosari paket mbps foto ktp foto rumah kapten naratel pakai terima kasih,1,1
KT0398,Bulanan Sy bingung ini sdh masuk Seperti daftar awal,bulan bingung sdh masuk daftar,1,1
KT2072,Sya sdah batasi 8 orng tapi knpa masih ada yg bisa masuk?,sya sdah batas orng masuk,1,1
KM2000,Kalau pakai ini apakah ada tanbahan tagihan ?,pakai tanbahan tagih,1,1
KT0398,Kenapa sulit gini Padahal mau bayar,sulit gin bayar,1,1
KT2072,Soalnya kami pake lelet skli,pakai lambat skli,2,2
KJ1294,Mau izin konfirmasi untuk berhenti berlangganan,izin konfirmasi henti langgan,4,1
KT2072,"Terus pas yg punya wifi mau masuk, trus masih ada perangkat lain yg tersambung bgmna",pas wifi masuk trus perangkat sambung bgmna,1,1
KJ1294,Mau berhenti aja kak,henti kak,4,1
KJ1294,Pengajuan Berhenti Berlangganan Anda dapat diproses apabila melengkapi data berikut :  ID Pelanggan: KJ1294 Nama: Fungky Candra Alasan Berhenti Berlangganan: tidak sanggup bayar Jadwal Pengambilan Modem: ngikut admin Jam : 15.00 Sharelocation: Jalan tirto utomo gg3 no 10c  Segera isi form agar kami bisa memproses permohonan berhenti berlangganan Anda. Terima kasih telah mempercayakan kami untuk melayani Anda🙏,aju henti langgan proses lengkap data id langgan kj nama fungky candra alas henti langgan tidak sanggup bayar jadwal ambil modem admin jam sharelocation jalan tirto utomo gg c isi form proses mohon henti langgan terima kasih percaya layan,4,4
KT2072,Coba sya cek dlu ya pak,coba sya cek iya,1,1
KJ1294,Pengajuan Berhenti Berlangganan Anda dapat diproses apabila melengkapi data berikut :  ID Pelanggan: KJ1294 Nama: Fungky Candra Alasan Berhenti Berlangganan: tidak sanggup bayar Jadwal Pengambilan Modem: 25 septmber admin Jam : 15.00 Sharelocation: Jalan tirto utomo gg3 no 10c  Segera isi form agar kami bisa memproses permohonan berhenti berlangganan Anda. Terima kasih telah mempercayakan kami untuk melayani Anda🙏,aju henti langgan proses lengkap data id langgan kj nama fungky candra alas henti langgan tidak sanggup bayar jadwal ambil modem septmber admin jam sharelocation jalan tirto utomo gg c isi form proses mohon henti langgan terima kasih percaya layan,4,4
JT1159,Nanti saya konfirmasi kak karena masih di kantor Terimakasih banyak ya 👍,konfirmasi kak kantor terimakasih iya,1,1
"KI1913, KI3348, KI3350","Tlg arahannya.  Barusan sy bayar tagihan. Tapi kok tidak semudah dulu.   Sy hny pny BSI. Sdh install aplikasi naratel dan buat VA di Indomaret, tp kt petugas indomaret kok g bisa. Bisanya pake winpay.  Tlg arahan yg memudahkan.",tlg arah barusan bayar tagih tidak mudah pny bsi sdh install aplikasi naratel va indomaret tugas indomaret g bisa pakai winpay tlg arah mudah,1,1
KM0399,"Bisa minta kode bayar? Jika masih bisa dilanjutkan.. Saya mengajukan downgrade ke 5Mbps.. Soale rumah kosong, dikontrakkan blm laku..",kode bayar lanjut aju downgrade mbps soale rumah kosong kontrak belum laku,1,1
"KI1913, KI3348, KI3350","Alhamdulillah, sdh sy bayar lwt Indomaret",alhamdulillah sdh bayar indomaret,1,1
KP2245,Ini masuk ke aplikasi apa kak andri,masuk aplikasi kak andri,1,1
KT0280,"Pengajuan Berhenti Berlangganan Anda dapat diproses apabila melengkapi data berikut :  ID Pelanggan: KT0280 Nama: Mely Alasan Berhenti Berlangganan: upgrade kecepatan lebih besar Jadwal Pengambilan Modem: Sabtu, 27 September 2025 Jam: 16.00 Sharelocation: jl. Margo utomo dalam gg baru 2 (kost putri nawal)  Segera isi form agar kami bisa memproses permohonan berhenti berlangganan Anda. Terima kasih telah mempercayakan kami untuk melayani Anda🙏",aju henti langgan proses lengkap data id langgan nama mely alas henti langgan upgrade cepat jadwal ambil modem september jam sharelocation jl margo utomo gg kost putri nawal isi form proses mohon henti langgan terima kasih percaya layan,4,4
KI0975,"Pagi kak, bisa di infokan tagihan saya, kok gk dikasih ya, sedangkan internet sudah mati? Tks",pagi kak info tagih gk kasih iya internet mati terima kasih,1,1
KT1094,Slalu trouble terus,slalu trouble,2,2
KD1290,"Saya tidak bisa mengirim  pembayaran dg VA, bagaimana kalo lewat tf BCA biasa?",tidak kirim bayar dg va tf bca,1,1
KI1483,"Kami sebagai pelanggan kipinginya seperti dulu, ketika ada tagihan disertai no briva, kalau tidak bisa seperti itu dan pembayaran selalu berganti ganti monggo diputus saja🙏",langgan kipinginya tagih serta briva tidak bayar ganti ganti monggo putus,1,1
KT1094,Tiap hari bisa 3 kali cabut trus pasang lagi,pergi trus pasang,4,1
KD1290,"Tidak mengerti ,karna biasanya anak saya yg bayar ,kalo pas di rumah",tidak erti anak bayar pas rumah,1,1
JT0555,Ini wifinya kenapa kok putus nyambung yaaa,wifinya putus nyambung yaaa,2,2
"KJ2224, KI1388",Belum nyala kak,belum nyala kak,1,1
KI2832,Hallo kak maaf terlambat pembayaran karna masih sdkit kesibukan  Kak apakah tgl sekarang masih bisa melakukan pembayaran tagihan Wi-Fi nya .,hallo kak maaf lambat bayar sdkit sibuk kak tanggal bayar tagih wi fi nya,2,1
"KM2760, KP0525",Tetep tidak bisa masuk katalog apk,tetep tidak masuk katalog apk,1,1
KP2273,"Kak, mohon dibantu mengisi data pemasangan terlebih dahulu untuk saya bantu daftarkan😊  Nama: Yonki Esa. N No. Telepon: 082232470250 Alamat Pemasangan: Jl. Cemara gang8 No.20, RT.003/RW.008  Kelurahan: Bugul Lor  Paket: 10mbps Foto KTP: nyusul Foto Tampak Depan Rumah: Tahu Kapten Naratel dari Mana: banner dijalan  Terima kasih 😊",kak mohon bantu isi data pasang bantu daftar nama yonki esa telepon alamat pasang jl cemara gang rw lurah bugul lor paket mbps foto ktp nyusul foto rumah kapten naratel banner jalan terima kasih,1,1
"KM2760, KP0525",Klu pake wifi my rep bisa masuk...,klu pakai wifi my rep masuk,1,1
KM2763,Apaka ada gangguan,apaka ganggu,2,2
KM2763,Lemot wif nya,lambat wif nya,2,2
KP2273,Besok bisa pasang ta,besok pasang ta,1,1
KI2832,Mau melakukan pembayaran kak tapi karna terlambat apakah sd tdk bisa lagi yak kak melakukan pembayaran?,bayar kak lambat sd tidak yak kak bayar,2,1
"KJ2224, KI1388",Lampu nya juga mati semua itu,lampu nya mati,2,2
KI2832,Maksudnya saya sd telat beberapa hari pembayaran apakah masih bisa melakukan pembayaran?   Dan tadi juga saya mengikuti panduan yg di arahkan untuk mendownload aplikasi kapten naratel dan coba untuk melakukan pembayaran tapi di situ total tagihan nya cuman 0,maksud sd lambat bayar bayar ikut pandu arah mendownload aplikasi kapten naratel coba bayar situ total tagih nya cuman,1,1
KJ0657,Selamat siang mau tny sy sd coba bayar lewat aplikasi cm nggk bisa,selamat siang tny sd coba bayar aplikasi cm nggk,1,1
KM2793,Ini pasword admin ini yg lupa jd anak sy gk bisa buka,pasword admin lupa anak gk buka,1,1
"JT0740, JT0741","Begini kak,, saya mau berhenti berlangganan..",kak henti langgan,4,1
KI3378,Bisa dibantu untuk mengisi datanya terlebih dahulu Kak untuk proses pendaftrannya kak😊 Nama Lengkap: Achmad Sodiq No. Telepon: 08113609930 Alamat Lengkap Pemasangan: Vila Bukit Tidar A5/01 Merjosari Malang Status pemasangan dimana: Kelurahan: Merjosari  Pilih Paket: 15 Mbps Foto KTP: Foto Tampak Depan Rumah: Tahu Kapten Naratel dari Mana: Radio Terima kasih 😊,bantu isi data kak proses pendaftrannya kak nama lengkap achmad sodiq telepon alamat lengkap pasang vila bukit tidar a merjosari malang status pasang lurah merjosari pilih paket mbps foto ktp foto rumah kapten naratel radio terima kasih,1,1
"JT0740, JT0741","Bulanan ini saya bayar,, buat bulan depan saya udh berhenti..",bulan bayar udh henti,4,1
"JT0740, JT0741","Toko saya sepi bangat kak,, gak nutut buat bayar bulananya.. 🙏🏿🙏🏿",toko sepi bangat kak gak nutut bayar bulananya,1,1
"JT0740, JT0741",Klw bagi saya gangguan ataw lancar itu udah hal yg biasa bagi saya kak.. Buat makan aja skrg saya cukup2pan kak..,ganggu ataw lancar kak makan skrg cukuppan kak,2,2
KM2554,Pagi hari jam berapa. Bisa diaktifkan fitur turbonya,pagi jam aktif fitur turbonya,1,1
KM0817,Setelah ganti modem jaringan internet normal lancar tapi saat ini kok putus lagi ya,ganti modem jaring internet normal lancar putus iya,2,2
KJ0657,"Sama""... sbnrny sd sempat chat admin di aplikasi cm lebih cepat via WA hehe",sd chat admin aplikasi cm cepat via wa he,1,1
KM2793,Ini yg lupa  Account : admin  Pasword:admin  Nah untuk loginnya anak sy lupa kata sandinya,lupa account admin pasword admin loginnya anak lupa sandi,1,1
KM2793,yang password admin itu pernah saya ganti terus lupa,password admin ganti lupa,1,1
"JT0740, JT0741",Pengajuan Berhenti Berlangganan Anda dapat diproses apabila melengkapi data berikut :  ID Pelanggan: JT 0740 dan JT 0741. Nama: JANUAR RIZAL. Alasan Berhenti Berlangganan: GAK KEBAYAR BULANAN. Jadwal Pengambilan Modem: 25 SEPTEMBER 2025. Jam: JAM 01.00 Sharelocation:  Segera isi form agar kami bisa memproses permohonan berhenti berlangganan Anda. Terima kasih telah mempercayakan kami untuk melayani Anda🙏,aju henti langgan proses lengkap data id langgan jt jt nama januar rizal alas henti langgan gak bayar bulan jadwal ambil modem september jam jam sharelocation isi form proses mohon henti langgan terima kasih percaya layan,4,4
KP2273,Tf besok waktu ada teknisi,tf besok teknisi,1,1
KP2273,Transfer tapi besok waktu ada teknisi datang,transfer besok teknisi,1,1
JT0481,Biasanua saya tf,biasanua tf,1,1
KT1809,Halo siang kak Ini wifinya kok mati ya Lampunya juga gak nyala,halo siang kak wifinya mati iya lampu gak nyala,1,1
KT1809,"Dear Sobat Kapten,  ID Pelanggan: KT1809 Nama: Suwandi Paket: 5 Mbps Jatuh Tempo: 16 September 2025 Total Tagihan: Rp 123.000 (sudah termasuk ppn dan biaya layanan) Nomor VA BCA: 1541200000 0000016496 (hanya dapat dibayar melalui rekening Bank BCA)  Note: 1. Jika membutuhkan metode pembayaran lain (Alfamart, Indomaret, atau bank lain), silakan instal aplikasi Kapten Naratel. 2. Per September 2025, seluruh notifikasi akan dikirimkan melalui aplikasi dan tidak lagi melalui WhatsApp. 3. Nomor VA BCA tetap tidak berubah setiap bulan.  Unduh aplikasi Kapten Naratel di Play Store:  https://play.google.com/store/apps/details?id=com.kaptennaratel.app  Panduan instalasi aplikasi:  https://youtube.com/shorts/pDNGBPZ0Avk  Panduan pembayaran melalui aplikasi:  https://youtube.com/shorts/NWGcaaD5_Eo?feature=share  Apabila mengalami kendala instalasi atau pembayaran,  silakan hubungi Customer Service Kapten Naratel ☎ +62 882-1202-2222  Terima kasih 🙏🏻",dear sobat kapten id langgan nama suwandi paket mbps jatuh tempo september total tagih rp ppn biaya layan nomor va bca bayar rekening bank bca note butuh metode bayar alfamart indomaret bank sila instal aplikasi kapten naratel september notifikasi kirim aplikasi tidak whatsapp nomor va bca tidak ubah unduh aplikasi kapten naratel play store pandu instalasi aplikasi pandu bayar aplikasi alami kendala instalasi bayar sila hubung customer service kapten naratel terima kasih,1,1
"JT0740, JT0741","Jualan saya sepi bnget kak,, gak nutut buat kbutuhan sehari2 dan buat bayar bulanan.. 🙏🏿🙏🏿",jual sepi bnget kak gak nutut kbutuhan hari bayar bulan,1,1
STKN0016,Apa data saya gak masuk ya?,data gak masuk iya,1,1
"KI3184, STKN0003, KN0626",Ini kan benerin punya orang tua saya dia kesusahan kadang selalu login  terus klk masuk ke wifi nya kak,benerin tua susah kadang login klk masuk wifi nya kak,1,1
KI1483,"Kalau setiap tagihan bulanan muncul no briva seperti ini kami akan lanjut, seandainya gk bisa monggo diputus saja 🙏",tagih bulan muncul briva anda gk monggo putus,1,1
GJ0275,Bayar Wifi Naratel bln Oktober 25☝️,bayar wifi naratel oktober,1,1
STKN0016,Minta tolong di cek ya,cek iya,1,1
KJ0887,Biasanya saudara ad yg byr nitip TF ke sy,saudara bayar nitip tf,1,1
KM0773,"Kakak minta bantu pasword sandi saya ya kak,kok gak masuk2 apa trobel ya kak",kakak bantu pasword sandi iya kak gak masuk trobel iya kak,1,1
KI2415,Jl. Mandalika koq trouble lagi,jl mandalika trouble,2,2
"KI1162, KI1160",Met siang  Kapten...mhn info rekening kalo mo tranfer pembayaran  tagihan,met siang kapten mohon informasi rekening tranfer bayar tagih,1,1
STKN0016,Bisa dibantu cek?,bantu cek,1,1
