message,kode_user,cleaning_text,case_folding,tokenizing,normalization,remove_stopwords,stemming,clean_text,severity
"Halo kak mau tanya, bayar tagihan via aplikasi menunya di sebelah mana ya kak? Apa harus isi saldo dulu trus otomatis kepotong",KI3194,Halo kak mau tanya bayar tagihan via aplikasi menunya di sebelah mana ya kak Apa harus isi saldo dulu trus otomatis kepotong,halo kak mau tanya bayar tagihan via aplikasi menunya di sebelah mana ya kak apa harus isi saldo dulu trus otomatis kepotong,"['halo', 'kak', 'mau', 'tanya', 'bayar', 'tagihan', 'via', 'aplikasi', 'menunya', 'di', 'sebelah', 'mana', 'ya', 'kak', 'apa', 'harus', 'isi', 'saldo', 'dulu', 'trus', 'otomatis', 'kepotong']","['halo', 'kak', 'mau', 'tanya', 'bayar', 'tagihan', 'via', 'aplikasi', 'menunya', 'di', 'sebelah', 'mana', 'iya', 'kak', 'apa', 'harus', 'isi', 'saldo', 'dulu', 'trus', 'otomatis', 'kepotong']","['halo', 'kak', 'bayar', 'tagihan', 'via', 'aplikasi', 'menunya', 'sebelah', 'iya', 'kak', 'isi', 'saldo', 'trus', 'otomatis', 'kepotong']","['halo', 'kak', 'bayar', 'tagih', 'via', 'aplikasi', 'menu', 'belah', 'iya', 'kak', 'isi', 'saldo', 'trus', 'otomatis', 'potong']",halo kak bayar tagih via aplikasi menu belah iya kak isi saldo trus otomatis potong,1
Mau tanya masa aktif punya tetangga saya atas nama bu ninik tanggal berapa ya ?,KD0746,Mau tanya masa aktif punya tetangga saya atas nama bu ninik tanggal berapa ya ,mau tanya masa aktif punya tetangga saya atas nama bu ninik tanggal berapa ya ,"['mau', 'tanya', 'masa', 'aktif', 'punya', 'tetangga', 'saya', 'atas', 'nama', 'bu', 'ninik', 'tanggal', 'berapa', 'ya']","['mau', 'tanya', 'masa', 'aktif', 'punya', 'tetangga', 'saya', 'atas', 'nama', 'bu', 'ninik', 'tanggal', 'berapa', 'iya']","['aktif', 'tetangga', 'nama', 'bu', 'ninik', 'tanggal', 'iya']","['aktif', 'tetangga', 'nama', 'bu', 'ninik', 'tanggal', 'iya']",aktif tetangga nama bu ninik tanggal iya,1
mau bayar di aplikasi kapten natatel lewat indomaret tapi kok gak bisa ya,"KD0123, KD1721",mau bayar di aplikasi kapten natatel lewat indomaret tapi kok gak bisa ya,mau bayar di aplikasi kapten natatel lewat indomaret tapi kok gak bisa ya,"['mau', 'bayar', 'di', 'aplikasi', 'kapten', 'natatel', 'lewat', 'indomaret', 'tapi', 'kok', 'gak', 'bisa', 'ya']","['mau', 'bayar', 'di', 'aplikasi', 'kapten', 'natatel', 'lewat', 'indomaret', 'tapi', 'kok', 'gak', 'bisa', 'iya']","['bayar', 'aplikasi', 'kapten', 'natatel', 'indomaret', 'gak', 'iya']","['bayar', 'aplikasi', 'kapten', 'natatel', 'indomaret', 'gak', 'iya']",bayar aplikasi kapten natatel indomaret gak iya,1
soalnya orangnya nitip uang ke saya buat bayar,KD0746,soalnya orangnya nitip uang ke saya buat bayar,soalnya orangnya nitip uang ke saya buat bayar,"['soalnya', 'orangnya', 'nitip', 'uang', 'ke', 'saya', 'buat', 'bayar']","['soalnya', 'orangnya', 'nitip', 'uang', 'ke', 'saya', 'buat', 'bayar']","['orangnya', 'nitip', 'uang', 'bayar']","['orang', 'nitip', 'uang', 'bayar']",orang nitip uang bayar,1
SDH bayar untk BLN nie kak,KP1184,SDH bayar untk BLN nie kak,sdh bayar untk bln nie kak,"['sdh', 'bayar', 'untk', 'bln', 'nie', 'kak']","['sdh', 'bayar', 'untk', 'bulan', 'ini', 'kak']","['sdh', 'bayar', 'untk', 'kak']","['sdh', 'bayar', 'untk', 'kak']",sdh bayar untk kak,1
Maaf GK bisa download aplikasi ....apakah bisa bayar d Alfamart/ Indomaret,KJ0851,Maaf GK bisa download aplikasi apakah bisa bayar d Alfamart Indomaret,maaf gk bisa download aplikasi apakah bisa bayar d alfamart indomaret,"['maaf', 'gk', 'bisa', 'download', 'aplikasi', 'apakah', 'bisa', 'bayar', 'd', 'alfamart', 'indomaret']","['maaf', 'gk', 'bisa', 'download', 'aplikasi', 'apakah', 'bisa', 'bayar', 'di', 'alfamart', 'indomaret']","['maaf', 'gk', 'download', 'aplikasi', 'bayar', 'alfamart', 'indomaret']","['maaf', 'gk', 'download', 'aplikasi', 'bayar', 'alfamart', 'indomaret']",maaf gk download aplikasi bayar alfamart indomaret,1
Saya mau bayar,KT1768,Saya mau bayar,saya mau bayar,"['saya', 'mau', 'bayar']","['saya', 'mau', 'bayar']",['bayar'],['bayar'],bayar,1
Besok aku TF 175 ribu,KN0552,Besok aku TF ribu,besok aku tf ribu,"['besok', 'aku', 'tf', 'ribu']","['besok', 'aku', 'tf', 'ribu']","['besok', 'tf']","['besok', 'tf']",besok tf,1
"Terima kasih atas konfirmasi pembayaran Anda. Masa aktif layanan telah kami perpanjang  Untuk informasi mengenai tanggal masa aktif, silakan cek melalui tautan berikut: https://pembayaran.kaptennaratel.com/  Jika wifinya masih belum bisa, mohon untuk me-restart modemnya. Caranya cabut adaptor selama 10 detik kemudian tancapkan lagi. Tunggu -/+3menit, sampai internet normal kembali😊",KM1631,Terima kasih atas konfirmasi pembayaran Anda Masa aktif layanan telah kami perpanjang Untuk informasi mengenai tanggal masa aktif silakan cek melalui tautan berikut Jika wifinya masih belum bisa mohon untuk me restart modemnya Caranya cabut adaptor selama detik kemudian tancapkan lagi Tunggu menit sampai internet normal kembali ,terima kasih atas konfirmasi pembayaran anda masa aktif layanan telah kami perpanjang untuk informasi mengenai tanggal masa aktif silakan cek melalui tautan berikut jika wifinya masih belum bisa mohon untuk me restart modemnya caranya cabut adaptor selama detik kemudian tancapkan lagi tunggu menit sampai internet normal kembali ,"['terima', 'kasih', 'atas', 'konfirmasi', 'pembayaran', 'anda', 'masa', 'aktif', 'layanan', 'telah', 'kami', 'perpanjang', 'untuk', 'informasi', 'mengenai', 'tanggal', 'masa', 'aktif', 'silakan', 'cek', 'melalui', 'tautan', 'berikut', 'jika', 'wifinya', 'masih', 'belum', 'bisa', 'mohon', 'untuk', 'me', 'restart', 'modemnya', 'caranya', 'cabut', 'adaptor', 'selama', 'detik', 'kemudian', 'tancapkan', 'lagi', 'tunggu', 'menit', 'sampai', 'internet', 'normal', 'kembali']","['terima', 'kasih', 'atas', 'konfirmasi', 'pembayaran', 'anda', 'masa', 'aktif', 'layanan', 'telah', 'kami', 'perpanjang', 'untuk', 'informasi', 'mengenai', 'tanggal', 'masa', 'aktif', 'silakan', 'cek', 'melalui', 'tautan', 'berikut', 'jika', 'wifinya', 'masih', 'belum', 'bisa', 'mohon', 'untuk', 'me', 'restart', 'modemnya', 'caranya', 'pergi', 'adaptor', 'selama', 'detik', 'kemudian', 'tancapkan', 'lagi', 'tunggu', 'menit', 'sampai', 'internet', 'normal', 'kembali']","['terima', 'kasih', 'konfirmasi', 'pembayaran', 'aktif', 'layanan', 'perpanjang', 'informasi', 'tanggal', 'aktif', 'silakan', 'cek', 'tautan', 'wifinya', 'belum', 'mohon', 'me', 'restart', 'modemnya', 'pergi', 'adaptor', 'detik', 'tancapkan', 'tunggu', 'menit', 'internet', 'normal']","['terima', 'kasih', 'konfirmasi', 'bayar', 'aktif', 'layan', 'panjang', 'informasi', 'tanggal', 'aktif', 'sila', 'cek', 'taut', 'wifinya', 'belum', 'mohon', 'me', 'restart', 'modem', 'pergi', 'adaptor', 'detik', 'tancap', 'tunggu', 'menit', 'internet', 'normal']",terima kasih konfirmasi bayar aktif layan panjang informasi tanggal aktif sila cek taut wifinya belum mohon me restart modem pergi adaptor detik tancap tunggu menit internet normal,4
Wifinya gangguan kah ?,KM2098,Wifinya gangguan kah ,wifinya gangguan kah ,"['wifinya', 'gangguan', 'kah']","['wifinya', 'gangguan', 'kah']","['wifinya', 'gangguan']","['wifinya', 'ganggu']",wifinya ganggu,2
Biasanya sy TF ke no.VA Briva,KM2049,Biasanya sy TF ke no VA Briva,biasanya sy tf ke no va briva,"['biasanya', 'sy', 'tf', 'ke', 'no', 'va', 'briva']","['biasanya', 'saya', 'tf', 'ke', 'no', 'va', 'briva']","['tf', 'va', 'briva']","['tf', 'va', 'briva']",tf va briva,1
Klo sy Tf dr rek bank lain ke nomer VA BCA itu bisa ndak?,KM2049,Klo sy Tf dr rek bank lain ke nomer VA BCA itu bisa ndak ,klo sy tf dr rek bank lain ke nomer va bca itu bisa ndak ,"['klo', 'sy', 'tf', 'dr', 'rek', 'bank', 'lain', 'ke', 'nomer', 'va', 'bca', 'itu', 'bisa', 'ndak']","['kalau', 'saya', 'tf', 'dr', 'rek', 'bank', 'lain', 'ke', 'nomer', 'va', 'bca', 'itu', 'bisa', 'tidak']","['tf', 'dr', 'rek', 'bank', 'nomer', 'va', 'bca', 'tidak']","['tf', 'dr', 'rek', 'bank', 'nomer', 'va', 'bca', 'tidak']",tf dr rek bank nomer va bca tidak,1
Sy TF ke nomer VA BCA pke mbanking Mandiri bisa ya,KM2049,Sy TF ke nomer VA BCA pke mbanking Mandiri bisa ya,sy tf ke nomer va bca pke mbanking mandiri bisa ya,"['sy', 'tf', 'ke', 'nomer', 'va', 'bca', 'pke', 'mbanking', 'mandiri', 'bisa', 'ya']","['saya', 'tf', 'ke', 'nomer', 'va', 'bca', 'pke', 'mbanking', 'mandiri', 'bisa', 'iya']","['tf', 'nomer', 'va', 'bca', 'pke', 'mbanking', 'mandiri', 'iya']","['tf', 'nomer', 'va', 'bca', 'pke', 'mbanking', 'mandiri', 'iya']",tf nomer va bca pke mbanking mandiri iya,1
"Slamat malam min kok di setiao jm 6 sampe jm 7, 2 hari iki sering lemot ya ?",KP0439,Slamat malam min kok di setiao jm sampe jm hari iki sering lemot ya ,slamat malam min kok di setiao jm sampe jm hari iki sering lemot ya ,"['slamat', 'malam', 'min', 'kok', 'di', 'setiao', 'jm', 'sampe', 'jm', 'hari', 'iki', 'sering', 'lemot', 'ya']","['slamat', 'malam', 'min', 'kok', 'di', 'setiao', 'jm', 'sampai', 'jm', 'hari', 'iki', 'sering', 'lambat', 'iya']","['slamat', 'malam', 'min', 'setiao', 'jm', 'jm', 'iki', 'lambat', 'iya']","['slamat', 'malam', 'min', 'setiao', 'jm', 'jm', 'iki', 'lambat', 'iya']",slamat malam min setiao jm jm iki lambat iya,2
"Bisa lewat website tidak? Kalau kebanyakan install aplikasi, HP bisa nge lag",KT1372,Bisa lewat website tidak Kalau kebanyakan install aplikasi HP bisa nge lag,bisa lewat website tidak kalau kebanyakan install aplikasi hp bisa nge lag,"['bisa', 'lewat', 'website', 'tidak', 'kalau', 'kebanyakan', 'install', 'aplikasi', 'hp', 'bisa', 'nge', 'lag']","['bisa', 'lewat', 'website', 'tidak', 'kalau', 'kebanyakan', 'install', 'aplikasi', 'hp', 'bisa', 'nge', 'lag']","['website', 'tidak', 'kebanyakan', 'install', 'aplikasi', 'hp', 'nge', 'lag']","['website', 'tidak', 'banyak', 'install', 'aplikasi', 'hp', 'nge', 'lag']",website tidak banyak install aplikasi hp nge lag,2
Mau rencana pasang,KP2273,Mau rencana pasang,mau rencana pasang,"['mau', 'rencana', 'pasang']","['mau', 'rencana', 'pasang']","['rencana', 'pasang']","['rencana', 'pasang']",rencana pasang,1
Smart tv nya aq pke kabel LAN.. Jd no lemot2..,KM2049,Smart tv nya aq pke kabel LAN Jd no lemot ,smart tv nya aq pke kabel lan jd no lemot ,"['smart', 'tv', 'nya', 'aq', 'pke', 'kabel', 'lan', 'jd', 'no', 'lemot']","['smart', 'tv', 'nya', 'saya', 'pke', 'kabel', 'lan', 'jadi', 'no', 'lambat']","['smart', 'tv', 'nya', 'pke', 'kabel', 'lan', 'lambat']","['smart', 'tv', 'nya', 'pke', 'kabel', 'lan', 'lambat']",smart tv nya pke kabel lan lambat,2
Pdahal wifinya nyala,KD1034,Pdahal wifinya nyala,pdahal wifinya nyala,"['pdahal', 'wifinya', 'nyala']","['pdahal', 'wifinya', 'nyala']","['pdahal', 'wifinya', 'nyala']","['pdahal', 'wifinya', 'nyala']",pdahal wifinya nyala,1
Ini teman saya mau pasang wifi,KP0128,Ini teman saya mau pasang wifi,ini teman saya mau pasang wifi,"['ini', 'teman', 'saya', 'mau', 'pasang', 'wifi']","['ini', 'teman', 'saya', 'mau', 'pasang', 'wifi']","['teman', 'pasang', 'wifi']","['teman', 'pasang', 'wifi']",teman pasang wifi,1
gangguan kah mbak?,"KT0356, KT1515",gangguan kah mbak ,gangguan kah mbak ,"['gangguan', 'kah', 'mbak']","['gangguan', 'kah', 'mbak']","['gangguan', 'mbak']","['ganggu', 'mbak']",ganggu mbak,2
Barusan saya tinggal dr rumah nyala dan saya buat chat dr rumah bisa,KD1034,Barusan saya tinggal dr rumah nyala dan saya buat chat dr rumah bisa,barusan saya tinggal dr rumah nyala dan saya buat chat dr rumah bisa,"['barusan', 'saya', 'tinggal', 'dr', 'rumah', 'nyala', 'dan', 'saya', 'buat', 'chat', 'dr', 'rumah', 'bisa']","['barusan', 'saya', 'tinggal', 'dr', 'rumah', 'nyala', 'dan', 'saya', 'buat', 'chat', 'dr', 'rumah', 'bisa']","['barusan', 'dr', 'rumah', 'nyala', 'chat', 'dr', 'rumah']","['barusan', 'dr', 'rumah', 'nyala', 'chat', 'dr', 'rumah']",barusan dr rumah nyala chat dr rumah,1
masih di cek mbak,"KT0356, KT1515",masih di cek mbak,masih di cek mbak,"['masih', 'di', 'cek', 'mbak']","['masih', 'di', 'cek', 'mbak']","['cek', 'mbak']","['cek', 'mbak']",cek mbak,1
Selamat siang kka Maaf mengganggu .ini bagaimana mau bayar wifi kka,KT2054,Selamat siang kka Maaf mengganggu ini bagaimana mau bayar wifi kka,selamat siang kka maaf mengganggu ini bagaimana mau bayar wifi kka,"['selamat', 'siang', 'kka', 'maaf', 'mengganggu', 'ini', 'bagaimana', 'mau', 'bayar', 'wifi', 'kka']","['selamat', 'siang', 'kka', 'maaf', 'mengganggu', 'ini', 'bagaimana', 'mau', 'bayar', 'wifi', 'kka']","['selamat', 'siang', 'kka', 'maaf', 'mengganggu', 'bayar', 'wifi', 'kka']","['selamat', 'siang', 'kka', 'maaf', 'ganggu', 'bayar', 'wifi', 'kka']",selamat siang kka maaf ganggu bayar wifi kka,1
ini ada nyala merah,"KT0356, KT1515",ini ada nyala merah,ini ada nyala merah,"['ini', 'ada', 'nyala', 'merah']","['ini', 'ada', 'nyala', 'merah']","['nyala', 'merah']","['nyala', 'merah']",nyala merah,1
