message,kode_user,severity,severity_manual
"Terima kasih atas perhatian anda. Kami akan merespons pesan ini beberapa saat lagi.   *SIDICOM SOLUSINDO*  📍Alamat dan Lokasi _Jl. Jambu No.I / 01, Semanding, Sumbersekar, Kec. Dau, Kabupaten Malang, Jawa Timur 65151_  https://maps.app.goo.gl/KDZSJYtJCsduTD4q7",KT1895,0,1
klo VA BRI apa sudah ga bisa ya kak?,JT0677,0,2
Hp dan TV,STKN0016,0,1
baik kak terimakasih😁,,0,1
Oke.akan saya coba,KM2866,0,1
"Selamat siang, kak kalo mau berhenti berlangganan bagaimana prosedurnya ?",KT0280,4,2
"Ok kak, sdh selesai pembayaran nya",KT1288,0,3
untuk nomer briva nya berapa ya kak?,JT0677,0,2
Udah saya restart,KM2866,0,1
Minta VA bri nya kak,KT1288,0,1
"sudah gak mumpuni kak, jadi mau ganti.. bagaimana prosedurnya ?",KT0280,0,1
Id pelanggan itu kenapa tidak busa dibayar?,,0,1
Sudah bisa ka,KM2866,0,1
Terima kasih ya,KM2866,0,2
1 hp dan 1 TV,STKN0016,0,2
Pak jaringan wifi nya kok lama loading nya,,0,1
Maksudnya jam sekarang,STKN0016,0,2
Sudah ga pake bri ?,JT0611,0,1
Tau gitu td saya pakai kuota,KD1034,0,3
Yg ini yg 30 Mbps,,0,2
Ok nanti biar di wa ya,JT0611,0,2
Minta kode pembayaran lewat indomaret kak,KT0905,0,1
Pembayaran bulan ini kak,KT1879,0,4
maaf kak kata masnya yg kemarin kesini App store masih belom bisa,KI1750,0,1
Sudah bisa kak ..barusan sudah membayar🙏🏻👍🏻,KN0133,0,1
Saya aja wa orang rumah gabisa,KD1034,0,2
Maaf kemahalan utk yg 20 mbps,STKN0016,0,1
Loh kenapa ini bisa lebih murah ?,STKN0016,0,1
"Kak, mohon dibantu mengisi data pemasangan terlebih dahulu untuk saya bantu daftarkan😊  Nama: ida royani No. Telepon: 081 805100041 Alamat Pemasangan: jln slamet Kelurahan: cemorokandang Paket: paket 5mbps Foto KTP: Foto Tampak Depan Rumah: Tahu Kapten Naratel dari Mana: teman  Terima kasih 😊",JT0481,1,4
Bukti pembayaran pelanggan dg ID. KI1973.,KI1973,1,1
Untuk loginya saya lupa id dan pass nya kak  ? Apa bisa di bantu,KJ1557,0,4
"Mf itu ada ditoko sblh Timur kodim n skrg tutup, mmg kt yg jaga toko kadang2 mati / sinyal tiba2 hilang...klo ke toko pg sj jam 9 smpe jm 5 sore",KP1136,2,4
Ini modemnya bisa dibawa mobile ?,STKN0016,0,2
"permisi, wifinya tidak bisa nyambung kira-kira kenapa ya",KI1112,0,1
"sudahh min, pas dicoba nyambung masih begituu",KI1112,0,3
Iya nih tak coba,AT0025,0,3
Kenapa wifi tidak ada koneksi setelah pembayaran,KT1961,0,1
Oh iya kalo mau paket superstar 30 mbps  Brarti :  10 perangkat yg bisa connect Modem bayar 300rb Free instalasi,STKN0016,1,2
Oh iya 6,STKN0016,0,2
Nomor ini sedang mengalami pembatasan oleh WhatsApp sehingga ada batasan untuk membalas pesan yang masuk.  *🛑Silakan hubungi Customer Service kami dinomor WhatsApp berikut :*  📱+62 882-1202-2222  📱+62 882-1203-3333  Kami berkomitmen segera menyelesaikan kendala ini agar komunikasi tetap lancar tanpa pergantian nomor yang membuat bingung  sobat kapten.   Mohon maaf atas ketidaknyamanan yang terjadi 🙏🏻,,1,3
Sudah kak tapi msih belum jadi,KT1961,0,2
Kalo deal bisa dipasang kapan ya?,STKN0016,0,3
Saya buka briva terus bingung nyarinya,AT0025,0,1
Cuman butuh utk 6 hp dan smart TV,STKN0016,0,2
Bayar pada saat pemasangan?,STKN0016,1,3
No rek biasa ada gak kak,AT0025,0,4
Oh gitu ya,STKN0016,0,1
Apa namanya kak di briva nya,AT0025,0,1
Kalo dari mandiri,AT0025,0,2
Tadi pembayaran lewat indomaret. Di aplikasi juga status pembayaran nya berhasil,KT1961,0,1
Penyedia nya apa namanya kak,AT0025,0,4
Baiklah besok pagi saya fotokan punya saya dulu ya,STKN0016,0,3
Tidak warna merah,KT1961,0,1
Pembayaran awal pemasangan ini utk modem yg 300rb ?,STKN0016,0,2
Setelah itu nanti saya lanjutkan alurnya,STKN0016,0,2
Wah menarik ini,STKN0016,0,4
Saya mau kalo langsung 3 bulan free modem,STKN0016,0,1
Yg 100 mbps,STKN0016,0,3
150rb x 3 ya?,STKN0016,0,1
Brti melalui website kapten natarel ya min,JT0183,0,3
Kak saya sudah bayar kenapa wifi tetap tidak aktif,KI2414,1,1
Iya  Saya ngambil yg 5 mbps harga 120 rb,,1,4
100 mbps utk 10 perangkat Free modem Free instalasi Langsung 3bln pembayaran Hanya bisa smart Tv,STKN0016,0,1
Memang gak bisa kak,AT0025,0,4
"nggak merah min, barusan ini udah bisa tp lemot ya...",KI1112,2,4
Saya coba berkali kali gak bisa,AT0025,0,1
No rek biasa ajja kak,AT0025,0,2
Saya berkali kali gak bisa,AT0025,0,1
Ok Saya nggak pake cctv,STKN0016,0,1
"baik min, terimakasih",KI1112,0,1
Saya install dulu,AT0025,0,2
"sudah balik lagi min, terimakasih banyak",KI1112,0,2
Id nya tidak di temukan kak,AT0025,0,2
Saya udah isi link daftar,STKN0016,0,2
"Saya dapat info dari iklan, Ada paket apa saja?",,1,1
Daerah wendit bisa kak?,,0,1
Briva apa maksudnya,,0,1
Gaada dimana milihnya,,0,3
Masih blum berarti ya?,,0,1
Admin sampai brpa tiap bulannya,KP2273,1,2
Pembayaran ikut bulan depannya atau bagaimana kalau awal,KP2273,0,2
Gak paham kak,KI1738,0,2
Halo masih lama kah,KM3636,0,3
Kalo bayar di alfamart kode nya kk,KM3636,1,2
Bisa isi sekarang ya?,KT1879,0,4
gabisa kak kodenya,KD1832,0,1
Ok kalau bisa apa besok bisa dipasang,KP2273,0,1
Wifi mati kak,KD0568,2,3
Oke kak terimakasih,KJ1557,0,4
"Saya kesulitan untuk membayar tagihan,",KT0964,1,4
Dengan metode yg baru,KT0964,0,2
"Untuk paket superstar 15/Mbps, 99rb/bulan Itu flat selamanya ato saat promo kak? misal 1tahun pertama selanjutnya harga berbeda?",,1,1
"Dear Pelanggan Kapten Dwi Wulandari,  Terima kasih telah melakukan perpanjangan masa aktif wifi di Mitra Bayar sps.  ID Pelanggan   : KT0964 Nama Pelanggan  : Dwi Wulandari Paket Layanan   : 5 Masa aktif berlaku sampai : 22-August-2025  Terima kasih atas kepercayaan Anda menggunakan layanan kami.",KT0964,1,2
Mohon di bantu untuk cara pembayaran dengan metode yg baru,KT0964,0,1
"enggak kak, mau berhenti langganan aja",KT0280,4,1
Knpa si kok gaada va nya bni ribet bsnget tiap mau bayar ini,,1,4
Maaaf saya ketiduran,STKN0016,0,1
Wifi di rumah ada gangguan a/n edy tjahjono  jl.taman indrakila 21 pasuruan  tks,,2,1
No VA indomaret brp?,KT1885,0,2
Tp tiba2 mati tidak ada internet,KD0568,2,2
Putus aja deh gajelas banget gaada solusinya ini,,2,1
"Layanan internet kami bermasalah : Dr.H . Ludi Wishnu Wardana, ST. SE. SPd. MM. Hp. 08123578267 D/a Perumahan La Tansa Cluster  Jl. Tirto Joyo No.30 Blok B5,  Merjosari, Kec. Lowokwaru, Kota Malang, Jawa Timur   65144","KI1033, KI1166",2,4
15mbps 99.000/bln ya kak? Itu sdh trmasuk biaya layanan y?,,0,1
Gimana ini kak? Kami segera butuh wifi nya,KI1738,0,1
Dudah saya bayar  di kantor,KD1282,1,3
Internet error lagi,KT1089,0,1
Saya gagal melakukan pembayaran,KD1713,0,4
"Alamat Pemasangan:Dusun Karang Panas, Jalan Balai Desa Kalirejo Karang Panas No.40,rt:02rw:01",,0,4
Ninik susiowati Apa ninik sulistyowati gtu,KD0746,0,3
"Ini dulu yg daftar atas nama anak, sekarang anaknya di Jepang",GJ0357,0,1
Sementara bisa bayar pakai cara biasa? Transfer?,GJ0357,1,4
Iya ini anak saya,GJ0357,0,1
"Kak, kalo misal ganti layanan atau paket ke yang 99rb/bulan bisa kah?",KT1763,1,4
Ini daftarnya pakai nama dan email saya ibunya atau pakai nama anak saya ya?,GJ0357,0,1
"Oke kak, ditunggu kak",KT1763,0,2
Sementara saya bayar Pakai ini dulu,GJ0357,1,2
"Slmt pagi. Mohon petunjuk ttg cara pembayaran yg baku. Virtual Account ""154.....607 - SPARKPAY"" nya mungkin error. Setiap melakukan akses utk pembayaran, selalu gagal dg muncul ""(02) Tagihan kedaluarsa"" Trmkasih. (ID Pelanggan KD1612) Nama pelanggan : Imam Sudjono.",KD1612,1,1
Ow gt ok kak tq infonya,KI0840,0,2
Utk pelanggan ada promo ga kak klu utk tambah mbps?,KI0840,1,1
"Maaf saya orang tua gak ngerti yang macem"" 🙏🙏",JT0374,0,4
"Kalo susah operasional nya, kami kecewa ini",KI1738,3,1
"Saya sudah bilang gak punya VA BCA ,jadi kalau bayar di Alfamart bisa kan ??",JT0374,1,4
Trimah kasih atas info nya 🙏,JT0374,0,3
Sudah saya bayar,JT0734,1,1
Besok besok bikin va bni kalo gini kan jadi kenak admin,,1,2
Tolong di cek,GJ0357,1,1
yang dimaksud pembatasan gimana kakk?,,0,1
internet apakah ada gangguan/perbaikan?,,2,1
"Kak ini Wifi-nya ga bisa, knapa ya ?",JT1159,0,1
Kak paket superstar itu apa?,KI0840,1,4
Bayar awal 300rb gitu ta kak?,KT1763,1,4
Pembayaran tagihan GI0042,GI0042,1,2
Maksudnya modem paket itu gimana kak?,KT1763,1,1
"Baik kak, ditunggu",JT1159,0,1
"Halo, dengan Salwa Customer Service Layanan Internet Kapten Naratel. Bisa dibantu untuk mengisi datanya terlebih dahulu untuk memastikan area tercover atau belum, Kak 😊  Alamat Pemasangan: Jl.utomorejo Gg.tenis no.9a Kelurahan: Sisir Share location (wajib isi) :  Tahu Kapten Naratel darimana: iklan facebook   Terima kasih 😊",,0,3
Masih perjalanan sepertinya 15menit yg lalu sudah konfirmasi,KP2273,1,2
Jl. Papa Biru No.76 https://share.google/XXr0HDKQWSeXXRBss,,0,4
"sudah sy cek semua, sudah ok kak",STJT0013,1,3
Selamat pagi kak Mau bertanya apakah daerah arjowinangun kota malang sudah tercover oleh kapten naratel?,,0,4
Masih gak bisa yg di tv,KI2857,0,2
Sudah di bayar ya kak,KT0905,1,2
"Halo, dengan Syarifa Customer Service Layanan Internet Kapten Naratel. Bisa dibantu untuk mengisi datanya terlebih dahulu untuk memastikan area tercover atau belum, Kak 😊  Alamat Pemasangan: Perum Puri Cempaka Putih 1 Blok N09  Kelurahan: Arjowinangun  Share location:   Tahu Kapten Naratel darimana: Media sosial  Terima kasih 😊",,0,1
"Siang KK,,naratel apaa trouble skrng",,2,4
Harus ada kode dari admin,KI2857,1,3
Kalau mau ganti layanan gimana nggih?,KD1285,0,1
Kelurahan kalirejo kecamatan sukorejo,,0,3
15412000000000008182  ( KI2174 ),"KI1629, KI2174, KI2424",0,4
Oke nanti ya saya ke alfa,KP2252,0,1
Ini kak Kan saya masih bertanya ter-cover atau tidak area perumahan saya Tetapi d kirim konfirmasi pembayaran 🙏🏻,,1,1
Untuk internet tv bisa juga ya ?,KM2000,0,4
Pembayaran via App. Kapten Naratel rumit berbelit2 prosedurnya.  Di HP sdh terlalu banyak Appllkasi.  Informasi sebelumnya dari Customer Service Kapten Naratel bhw khusus utk pembayaran melalui VA BCA tidak ada perubahan tiap bulannya. Mhn infonya.🙏,KD1612,0,3
VA BCA mb.,KD1612,0,3
Jadi jl papa biru belum tercover ya... Klo daerah jl papa2 apakah ada yg tercover?,,0,1
Baik terimakasih informasinya kak 🙏🏻,,0,1
Mulai dri kmarn sblom tgl 21 udh tf k bca kok gk bsa... Umpma mintk rek bank yg lain bsa p gak...,KI2161,1,1
oke baik min,,0,3
Berhasil. Trmkasih mb.👍🙏,KD1612,0,3
Mbk.aq sudah bayar wifi 2 hari yg lalu.,KJ1442,1,4
Apa sudah bisa memasang di daerah saya.?,,0,4
"Saya dapat info dari iklan, Ada Promo apa saja?",,1,1
Ini bukti oembayarnya,KJ1442,1,2
Pembayarannya.. Gimana ini mbk,KJ1442,0,4
TPI Wifi-nya kok gak bisa nyala . Knapa,KJ1442,1,3
Tlong di cek mbk,KJ1442,1,1
sudah terhubung kembali,KJ2308,0,1
Info promo untuk pemasangan wilayah pasuruan?,,1,4
Apakah ada no seles dipasuruan?,,0,2
Yawes. Samean cek knpa. Kok gak bisa,KJ1442,1,1
Cepet mbk ya.. soalnya kita konsumen bayarnya tepat waktu tp wifi kok malah ngadat,KJ1442,0,2
Ya wes bayar tunai saat pemasangan makasih ya sebelumya,KP2252,1,2
Sistem pembayarannya jdi rumit.,KJ1442,0,1
Pasuruan kabupaten apakah bisa,,0,2
Iyaa merah mb,KJ1442,0,1
Kmren sudah slrestart,KJ1442,0,2
"selamat siang, bukti down 5 mbps KJ2338, mohon di cek","GJ0333, KJ0477, KJ2338",1,1
