id,kode_user,paket_satuan,status_log,lama_aktivasi
101,KJ0477,10 Mbps,y,55 bulan
102,KI0173,5 Mbps,y,55 bulan
103,KJ0435,10 Mbps,y,55 bulan
104,KJ0493,15 Mbps,y,55 bulan
105,KJ0485,5 Mbps,y,55 bulan
106,KJ0503,10 Mbps,y,55 bulan
107,KI0179,10 Mbps,y,55 bulan
108,KJ0495,5 Mbps,y,55 bulan
109,KJ0500,10 Mbps,y,55 bulan
110,KJ0508,5 Mbps,y,55 bulan
111,KJ0509,10 Mbps,y,55 bulan
112,KJ0519,5 Mbps,y,55 bulan
113,KJ0497,10 Mbps,y,55 bulan
114,KJ0537,10 Mbps,n,55 bulan
115,KJ0533,15 Mbps,y,55 bulan
116,KJ0536,10 Mbps,y,55 bulan
117,KJ0535,15 Mbps,y,55 bulan
118,KI0184,5 Mbps,y,55 bulan
119,KJ0531,5 Mbps,y,55 bulan
120,KI0185,5 Mbps,y,55 bulan
121,KJ0550,10 Mbps,y,55 bulan
122,KJ0562,10 Mbps,y,55 bulan
123,KJ0584,10 Mbps,y,55 bulan
124,KJ0589,5 Mbps,y,55 bulan
125,KJ0598,5 Mbps,y,55 bulan
126,KJ0585,10 Mbps,y,55 bulan
127,KJ0619,10 Mbps,n,55 bulan
128,KJ0610,10 Mbps,y,55 bulan
129,KJ0603,5 Mbps,y,55 bulan
130,KJ0602,10 Mbps,y,55 bulan
131,KJ0601,10 Mbps,y,55 bulan
132,KJ0600,10 Mbps,y,55 bulan
133,KJ0594,10 Mbps,y,55 bulan
134,KJ0611,10 Mbps,n,55 bulan
135,KJ0632,10 Mbps,n,55 bulan
136,KJ0606,10 Mbps,y,55 bulan
137,KJ0647,10 Mbps,y,55 bulan
138,KJ0658,5 Mbps,n,55 bulan
139,KJ0667,10 Mbps,y,55 bulan
140,KJ0657,10 Mbps,y,55 bulan
141,KJ0616,10 Mbps,y,55 bulan
142,KJ0671,15 Mbps,y,55 bulan
143,KI0228,5 Mbps,y,55 bulan
144,KJ0677,10 Mbps,y,55 bulan
145,KJ0686,10 Mbps,y,55 bulan
146,KJ0696,10 Mbps,y,55 bulan
147,KJ0706,10 Mbps,y,55 bulan
148,KJ0704,10 Mbps,y,55 bulan
149,KJ0705,10 Mbps,y,55 bulan
150,KJ0722,10 Mbps,y,55 bulan
151,KJ0733,5 Mbps,y,55 bulan
152,KJ0734,15 Mbps,y,55 bulan
153,KJ0743,5 Mbps,y,55 bulan
154,KJ0744,5 Mbps,y,55 bulan
155,KJ0791,10 Mbps,y,55 bulan
156,KI0261,5 Mbps,y,55 bulan
157,KI0256,5 Mbps,y,55 bulan
158,KI0259,10 Mbps,y,55 bulan
159,KJ0767,10 Mbps,y,55 bulan
160,KJ0806,10 Mbps,n,55 bulan
161,KJ0804,10 Mbps,y,55 bulan
162,KJ0805,5 Mbps,y,55 bulan
163,KJ0712,10 Mbps,y,55 bulan
164,KJ0798,10 Mbps,y,55 bulan
165,KJ0811,10 Mbps,y,55 bulan
166,KJ0812,5 Mbps,y,55 bulan
167,KJ0847,5 Mbps,y,55 bulan
168,KJ0815,5 Mbps,y,55 bulan
169,KJ0819,15 Mbps,y,55 bulan
170,KJ0825,10 Mbps,y,55 bulan
171,KJ0846,10 Mbps,y,55 bulan
172,KI0274,10 Mbps,y,55 bulan
173,KJ0843,5 Mbps,y,55 bulan
174,KJ0856,10 Mbps,y,55 bulan
175,KJ0854,5 Mbps,y,55 bulan
176,KM0007,10 Mbps,y,55 bulan
177,KJ0862,10 Mbps,n,55 bulan
178,KJ0866,10 Mbps,n,55 bulan
179,KJ0841,15 Mbps,y,55 bulan
180,KJ0851,5 Mbps,y,55 bulan
181,KM0013,5 Mbps,y,55 bulan
182,KM0018,10 Mbps,y,55 bulan
183,KJ0887,10 Mbps,y,55 bulan
184,KJ0888,5 Mbps,y,55 bulan
185,KJ0897,20 Mbps,y,55 bulan
186,KJ0891,5 Mbps,y,55 bulan
187,KJ0910,5 Mbps,y,55 bulan
188,KI0290,15 Mbps,y,55 bulan
189,KJ0860,10 Mbps,n,55 bulan
190,KJ0912,10 Mbps,y,55 bulan
191,KI0279,10 Mbps,y,55 bulan
192,KI0314,5 Mbps,y,55 bulan
193,KJ0937,5 Mbps,y,55 bulan
194,KJ0939,5 Mbps,y,55 bulan
195,KI0319,10 Mbps,y,55 bulan
196,KI0320,5 Mbps,n,55 bulan
197,KI0326,5 Mbps,y,55 bulan
198,KJ0952,10 Mbps,y,55 bulan
199,KJ0957,5 Mbps,y,55 bulan
200,KI0335,10 Mbps,y,55 bulan
201,KJ0768,15 Mbps,y,55 bulan
202,KJ0962,10 Mbps,y,55 bulan
203,KI0350,5 Mbps,y,55 bulan
204,KJ0969,10 Mbps,y,55 bulan
205,KM0043,10 Mbps,n,55 bulan
206,KJ0976,5 Mbps,y,55 bulan
207,KJ0977,5 Mbps,y,55 bulan
208,KM0044,5 Mbps,y,55 bulan
209,KJ0980,5 Mbps,y,55 bulan
210,KJ0983,15 Mbps,n,55 bulan
211,KI0361,10 Mbps,y,55 bulan
212,KI0359,5 Mbps,y,55 bulan
213,KJ0982,10 Mbps,n,55 bulan
214,KJ0985,10 Mbps,y,55 bulan
215,KJ0988,15 Mbps,y,55 bulan
216,KM0047,10 Mbps,y,55 bulan
217,KM0046,5 Mbps,y,55 bulan
218,KJ0990,5 Mbps,y,55 bulan
219,KI0366,10 Mbps,y,55 bulan
220,KJ0994,10 Mbps,y,55 bulan
221,KM0051,5 Mbps,y,55 bulan
222,KM0048,5 Mbps,y,55 bulan
223,KI0375,10 Mbps,y,55 bulan
224,KM0052,5 Mbps,y,55 bulan
225,KI0380,5 Mbps,y,55 bulan
226,KJ1004,5 Mbps,y,55 bulan
227,KJ1006,10 Mbps,y,55 bulan
228,KM0063,10 Mbps,y,55 bulan
229,KM0066,10 Mbps,y,55 bulan
230,KM0070,5 Mbps,y,55 bulan
231,KM0073,5 Mbps,y,55 bulan
232,KI0391,6 Mbps,y,55 bulan
233,KJ1024,10 Mbps,y,55 bulan
234,KM0064,5 Mbps,y,55 bulan
235,KM0076,5 Mbps,y,55 bulan
236,KM0071,10 Mbps,y,55 bulan
237,KI0398,10 Mbps,y,55 bulan
238,KM0059,5 Mbps,y,55 bulan
239,KM0079,10 Mbps,y,55 bulan
240,KJ1037,5 Mbps,y,55 bulan
241,KI0407,5 Mbps,y,55 bulan
242,KM0083,5 Mbps,y,55 bulan
243,KM0055,10 Mbps,y,55 bulan
244,KJ1038,10 Mbps,y,55 bulan
245,KJ1042,10 Mbps,y,55 bulan
246,KJ1044,10 Mbps,y,55 bulan
247,KI0409,10 Mbps,y,55 bulan
248,KJ1062,10 Mbps,y,55 bulan
249,KJ1060,10 Mbps,y,55 bulan
250,KJ1058,10 Mbps,n,55 bulan
251,KJ1068,5 Mbps,y,55 bulan
252,KM0088,10 Mbps,y,55 bulan
253,KM0089,5 Mbps,y,55 bulan
254,KI0426,10 Mbps,y,55 bulan
255,KM0095,10 Mbps,y,55 bulan
256,KM0096,10 Mbps,y,55 bulan
257,KI0440,5 Mbps,y,55 bulan
258,KI0445,10 Mbps,y,55 bulan
259,KM0101,5 Mbps,y,55 bulan
260,KJ1090,5 Mbps,y,55 bulan
261,KI0455,20 Mbps,y,55 bulan
262,KJ1104,5 Mbps,y,55 bulan
263,KI0456,5 Mbps,y,55 bulan
264,KJ1106,10 Mbps,y,55 bulan
265,KM0099,5 Mbps,y,54 bulan
266,KJ1117,20 Mbps,y,54 bulan
267,KI0468,10 Mbps,y,54 bulan
268,KI0463,5 Mbps,y,54 bulan
269,KM0107,5 Mbps,y,54 bulan
270,KJ1127,10 Mbps,y,54 bulan
271,KJ1132,10 Mbps,y,54 bulan
272,KM0116,10 Mbps,y,54 bulan
273,KJ0735,10 Mbps,y,54 bulan
274,KM0123,10 Mbps,y,54 bulan
275,KI0479,5 Mbps,y,54 bulan
276,KJ1146,10 Mbps,y,54 bulan
277,KI0480,15 Mbps,y,54 bulan
278,KJ1152,10 Mbps,y,54 bulan
279,KM0117,10 Mbps,y,54 bulan
280,KI0489,10 Mbps,y,54 bulan
281,KM0131,5 Mbps,y,54 bulan
282,KM0130,10 Mbps,y,54 bulan
283,KJ1155,10 Mbps,y,53 bulan
284,KI0498,10 Mbps,y,53 bulan
285,KJ1156,10 Mbps,y,53 bulan
286,KI0503,5 Mbps,y,53 bulan
287,KM0139,5 Mbps,y,53 bulan
288,KM0133,10 Mbps,y,53 bulan
289,KM0140,10 Mbps,y,53 bulan
290,KI0507,5 Mbps,y,53 bulan
291,KJ1169,10 Mbps,y,53 bulan
292,KJ1170,10 Mbps,y,53 bulan
293,KJ1171,5 Mbps,y,53 bulan
294,KI0512,5 Mbps,y,53 bulan
295,KJ1174,10 Mbps,n,53 bulan
296,KM0145,10 Mbps,y,53 bulan
297,KJ1181,5 Mbps,y,53 bulan
298,KJ1183,10 Mbps,y,53 bulan
299,KI0518,10 Mbps,y,53 bulan
300,KI0510,10 Mbps,y,53 bulan
301,KI0523,10 Mbps,y,53 bulan
302,KJ1207,10 Mbps,y,53 bulan
303,KJ1214,10 Mbps,y,53 bulan
304,KJ1208,10 Mbps,n,53 bulan
305,KI0528,10 Mbps,y,53 bulan
306,KJ1202,10 Mbps,y,53 bulan
307,KJ1187,10 Mbps,y,53 bulan
308,KM0170,5 Mbps,y,52 bulan
309,KM0162,10 Mbps,y,52 bulan
310,KM0147,10 Mbps,y,52 bulan
311,KM0169,5 Mbps,n,52 bulan
312,KI0532,10 Mbps,y,52 bulan
313,KM0136,5 Mbps,y,52 bulan
314,KM0177,10 Mbps,y,52 bulan
315,KJ1200,5 Mbps,y,52 bulan
316,KM0185,15 Mbps,y,52 bulan
317,KM0192,5 Mbps,y,52 bulan
318,KM0186,10 Mbps,y,52 bulan
319,KM0187,15 Mbps,y,52 bulan
320,KJ1242,10 Mbps,y,52 bulan
321,KM0201,10 Mbps,y,52 bulan
322,KJ1239,10 Mbps,y,52 bulan
323,KI0555,10 Mbps,y,52 bulan
324,KI0565,15 Mbps,n,52 bulan
325,KJ1247,5 Mbps,y,52 bulan
326,KI0564,10 Mbps,y,52 bulan
327,KM0206,5 Mbps,y,52 bulan
328,KM0207,10 Mbps,y,52 bulan
329,KI0550,5 Mbps,y,52 bulan
330,KI0568,5 Mbps,y,52 bulan
331,KI0572,10 Mbps,n,52 bulan
332,KI0574,10 Mbps,n,52 bulan
333,KI0579,20 Mbps,y,52 bulan
334,KI0581,5 Mbps,y,52 bulan
335,KM0213,10 Mbps,y,52 bulan
336,KJ1281,10 Mbps,y,52 bulan
337,KI0589,5 Mbps,y,52 bulan
338,KJ1278,15 Mbps,n,52 bulan
339,KJ1279,15 Mbps,y,52 bulan
340,KI0593,5 Mbps,n,52 bulan
341,KM0222,5 Mbps,y,52 bulan
342,KJ1285,10 Mbps,y,52 bulan
343,KJ1286,5 Mbps,y,52 bulan
344,KI0592,10 Mbps,y,52 bulan
345,KM0227,5 Mbps,y,52 bulan
346,KJ1292,5 Mbps,y,52 bulan
347,KJ1293,10 Mbps,y,52 bulan
348,KJ1294,20 Mbps,n,52 bulan
349,KI0601,10 Mbps,y,52 bulan
350,KI0600,5 Mbps,y,52 bulan
351,KM0216,10 Mbps,y,52 bulan
352,KM0233,5 Mbps,y,52 bulan
353,KI0597,5 Mbps,y,52 bulan
354,KM0234,5 Mbps,n,52 bulan
355,KM0237,10 Mbps,y,51 bulan
356,KI0610,10 Mbps,y,51 bulan
357,KJ1308,10 Mbps,y,51 bulan
358,KJ1319,10 Mbps,n,51 bulan
359,KM0244,10 Mbps,y,51 bulan
360,KI0618,10 Mbps,y,51 bulan
361,KI0621,5 Mbps,y,51 bulan
362,KJ1330,5 Mbps,n,51 bulan
363,KJ1326,5 Mbps,y,51 bulan
364,KJ1318,15 Mbps,y,51 bulan
365,KI0624,10 Mbps,y,51 bulan
366,KI0625,5 Mbps,y,51 bulan
367,KI0627,5 Mbps,y,51 bulan
368,KJ1334,10 Mbps,n,51 bulan
369,KI0631,5 Mbps,y,51 bulan
370,KJ1342,10 Mbps,y,51 bulan
371,KJ1337,5 Mbps,y,51 bulan
372,KM0260,5 Mbps,y,51 bulan
373,KM0261,10 Mbps,y,51 bulan
374,KM0251,10 Mbps,y,51 bulan
375,KM0267,10 Mbps,y,51 bulan
376,KJ1357,10 Mbps,y,51 bulan
377,KI0640,5 Mbps,y,51 bulan
378,KM0265,10 Mbps,y,51 bulan
379,KI0644,10 Mbps,y,51 bulan
380,KI0645,5 Mbps,y,51 bulan
381,KM0270,10 Mbps,y,51 bulan
382,KM0274,5 Mbps,y,51 bulan
383,KM0281,10 Mbps,n,51 bulan
384,KJ1370,10 Mbps,y,51 bulan
385,KJ1372,10 Mbps,y,51 bulan
386,KI0655,10 Mbps,y,51 bulan
387,KM0277,5 Mbps,y,51 bulan
388,KM0288,10 Mbps,y,51 bulan
389,KM0283,10 Mbps,n,51 bulan
390,KI0662,10 Mbps,y,51 bulan
391,KM0286,5 Mbps,y,51 bulan
392,KJ1387,10 Mbps,y,51 bulan
393,KI0665,5 Mbps,y,51 bulan
394,KJ1400,5 Mbps,n,51 bulan
395,KJ1395,15 Mbps,y,51 bulan
396,KJ1397,10 Mbps,y,51 bulan
397,KM0285,5 Mbps,y,51 bulan
398,KJ1401,15 Mbps,n,51 bulan
399,KJ1407,5 Mbps,y,51 bulan
400,KJ1406,5 Mbps,y,51 bulan
401,KJ1408,5 Mbps,y,51 bulan
402,KM0304,5 Mbps,y,51 bulan
403,KI0685,5 Mbps,y,50 bulan
404,KI0678,20 Mbps,y,50 bulan
405,KJ1415,20 Mbps,n,50 bulan
406,KM0308,10 Mbps,y,50 bulan
407,KM0315,10 Mbps,y,50 bulan
408,KI0692,10 Mbps,y,50 bulan
409,KI0695,10 Mbps,n,50 bulan
410,KI0712,10 Mbps,y,50 bulan
411,KM0310,5 Mbps,y,50 bulan
412,KM0307,10 Mbps,n,50 bulan
413,KM0276,10 Mbps,y,50 bulan
414,KJ1438,10 Mbps,y,50 bulan
415,KM0328,5 Mbps,y,50 bulan
416,KI0713,10 Mbps,y,50 bulan
417,KJ1442,5 Mbps,y,50 bulan
418,KI0718,10 Mbps,y,50 bulan
419,KM0322,10 Mbps,y,50 bulan
420,KJ1446,10 Mbps,y,50 bulan
421,KM0324,10 Mbps,y,50 bulan
422,KJ1448,10 Mbps,y,50 bulan
423,KJ1453,10 Mbps,y,50 bulan
424,KI0724,10 Mbps,n,50 bulan
425,KJ1454,5 Mbps,y,50 bulan
426,KM0217,5 Mbps,y,50 bulan
427,KJ1462,5 Mbps,y,50 bulan
428,KM0340,10 Mbps,y,50 bulan
429,KM0341,5 Mbps,y,50 bulan
430,KI0722,5 Mbps,y,50 bulan
431,KM0319,15 Mbps,n,50 bulan
432,KI0734,5 Mbps,y,50 bulan
433,KI0742,5 Mbps,y,50 bulan
434,KM0349,10 Mbps,y,50 bulan
435,KM0334,10 Mbps,y,50 bulan
436,KI0745,10 Mbps,y,50 bulan
437,KJ1485,5 Mbps,y,50 bulan
438,KJ1493,15 Mbps,y,50 bulan
439,KM0331,5 Mbps,y,50 bulan
440,KM0368,10 Mbps,n,50 bulan
441,KM0370,10 Mbps,y,50 bulan
442,KJ1508,10 Mbps,y,50 bulan
443,KI0760,10 Mbps,y,50 bulan
444,KI0768,20 Mbps,n,50 bulan
445,KJ1513,5 Mbps,y,50 bulan
446,KM0361,10 Mbps,y,50 bulan
447,KJ1515,10 Mbps,y,49 bulan
448,KM0329,10 Mbps,y,49 bulan
449,KM0364,10 Mbps,n,49 bulan
450,KM0379,5 Mbps,y,49 bulan
451,KM0384,5 Mbps,y,49 bulan
452,KJ1535,10 Mbps,y,49 bulan
453,KM0393,10 Mbps,n,49 bulan
454,KM0399,5 Mbps,y,49 bulan
455,KM0396,10 Mbps,y,49 bulan
456,KI0791,20 Mbps,y,49 bulan
457,KM0400,5 Mbps,n,49 bulan
458,KI0802,5 Mbps,n,49 bulan
459,KJ1557,5 Mbps,y,49 bulan
460,KM0404,10 Mbps,y,49 bulan
461,KJ1561,10 Mbps,n,49 bulan
462,KJ1563,15 Mbps,y,49 bulan
463,KI0805,5 Mbps,y,49 bulan
464,KM0390,10 Mbps,y,49 bulan
465,KM0408,10 Mbps,y,49 bulan
466,KI0811,5 Mbps,y,49 bulan
467,KI0813,5 Mbps,y,49 bulan
468,KM0411,10 Mbps,y,49 bulan
469,KM0359,5 Mbps,y,49 bulan
470,KM0417,5 Mbps,y,49 bulan
471,KI0828,10 Mbps,y,49 bulan
472,KI0816,5 Mbps,n,49 bulan
473,KI0830,10 Mbps,y,49 bulan
474,KI0833,5 Mbps,y,49 bulan
475,KI0832,20 Mbps,y,49 bulan
476,KJ1588,15 Mbps,y,49 bulan
477,KJ1592,10 Mbps,y,49 bulan
478,KI0837,5 Mbps,y,49 bulan
479,KI0840,10 Mbps,y,49 bulan
480,KI0796,20 Mbps,y,49 bulan
481,KI0846,10 Mbps,y,49 bulan
482,KI0847,10 Mbps,y,49 bulan
483,KI0852,10 Mbps,y,49 bulan
484,KI0856,5 Mbps,y,49 bulan
485,KJ1612,15 Mbps,y,49 bulan
486,KJ1607,11 Mbps,y,48 bulan
487,KJ1615,5 Mbps,y,48 bulan
488,KM0433,5 Mbps,y,48 bulan
489,KI0866,5 Mbps,y,48 bulan
490,KI0864,5 Mbps,n,48 bulan
491,KM0435,10 Mbps,y,48 bulan
492,KI0868,10 Mbps,y,48 bulan
493,KI0869,5 Mbps,y,48 bulan
494,KM0441,5 Mbps,y,48 bulan
495,KM0445,5 Mbps,y,48 bulan
496,KI0878,5 Mbps,y,48 bulan
497,KJ1632,5 Mbps,y,48 bulan
498,KI0879,10 Mbps,n,48 bulan
499,KI0880,10 Mbps,n,48 bulan
500,KM0449,5 Mbps,y,48 bulan
501,KI0885,5 Mbps,y,48 bulan
502,KM0459,10 Mbps,y,48 bulan
503,KJ1651,5 Mbps,y,48 bulan
504,KJ1649,10 Mbps,y,48 bulan
505,KJ1653,5 Mbps,y,48 bulan
506,KJ1657,5 Mbps,y,48 bulan
507,KM0443,10 Mbps,y,48 bulan
508,KJ1663,10 Mbps,y,48 bulan
509,KM0462,10 Mbps,y,48 bulan
510,KI0895,5 Mbps,y,48 bulan
511,KJ1666,10 Mbps,y,48 bulan
512,KM0473,5 Mbps,n,48 bulan
513,KM0474,10 Mbps,y,48 bulan
514,KI0907,10 Mbps,n,48 bulan
515,KM0471,10 Mbps,y,48 bulan
516,KM0479,10 Mbps,n,48 bulan
517,KI0904,10 Mbps,y,48 bulan
518,KM0486,10 Mbps,y,48 bulan
519,KJ1690,10 Mbps,y,47 bulan
520,KM0492,10 Mbps,y,47 bulan
521,KJ1699,10 Mbps,y,47 bulan
522,KJ1706,10 Mbps,y,47 bulan
523,KJ1709,20 Mbps,y,47 bulan
524,KI0933,5 Mbps,y,47 bulan
525,KM0506,20 Mbps,y,47 bulan
526,KJ1717,10 Mbps,y,47 bulan
527,KM0508,5 Mbps,y,47 bulan
528,KM0510,10 Mbps,y,47 bulan
529,KM0515,5 Mbps,y,47 bulan
530,KI0966,5 Mbps,y,47 bulan
531,KI0975,5 Mbps,y,47 bulan
532,KI0967,10 Mbps,y,47 bulan
533,KI0973,10 Mbps,n,47 bulan
534,KI0976,10 Mbps,y,47 bulan
535,KJ1754,10 Mbps,y,47 bulan
536,KM0520,10 Mbps,y,47 bulan
537,KJ1753,10 Mbps,y,47 bulan
538,KM0523,10 Mbps,y,47 bulan
539,KJ1757,10 Mbps,y,47 bulan
540,KI0984,10 Mbps,y,47 bulan
541,KI0982,10 Mbps,y,47 bulan
542,KI0986,5 Mbps,y,47 bulan
543,KJ1765,5 Mbps,y,46 bulan
544,KM0528,10 Mbps,n,46 bulan
545,KM0532,10 Mbps,y,46 bulan
546,KI0992,15 Mbps,y,46 bulan
547,KJ1771,15 Mbps,y,46 bulan
548,KJ1773,5 Mbps,y,46 bulan
549,KI0994,5 Mbps,y,46 bulan
550,KI0996,5 Mbps,y,46 bulan
551,KJ1779,5 Mbps,y,46 bulan
552,KI0998,10 Mbps,y,46 bulan
553,KJ1781,10 Mbps,y,46 bulan
554,KM0534,10 Mbps,y,46 bulan
555,KM0539,10 Mbps,y,46 bulan
556,KM0546,10 Mbps,y,46 bulan
557,KI1003,5 Mbps,y,46 bulan
558,KM0553,10 Mbps,y,46 bulan
559,KM0552,15 Mbps,y,46 bulan
560,KI1008,10 Mbps,y,46 bulan
561,KM0559,5 Mbps,y,46 bulan
562,KI1012,5 Mbps,y,46 bulan
563,KI1013,5 Mbps,y,46 bulan
564,KJ1802,15 Mbps,y,46 bulan
565,KJ1809,10 Mbps,y,46 bulan
566,KJ1807,10 Mbps,y,46 bulan
567,KI1016,10 Mbps,y,46 bulan
568,KM0562,10 Mbps,n,46 bulan
569,KM0567,10 Mbps,y,46 bulan
570,KI1017,5 Mbps,y,46 bulan
571,KM0569,5 Mbps,y,46 bulan
572,KI1019,5 Mbps,y,46 bulan
573,KJ1815,10 Mbps,y,46 bulan
574,KM0570,10 Mbps,y,46 bulan
575,KM0577,10 Mbps,y,46 bulan
576,KM0576,5 Mbps,y,46 bulan
577,KI1033,10 Mbps,y,46 bulan
578,KI1036,5 Mbps,y,45 bulan
579,KM0581,5 Mbps,y,45 bulan
580,KM0584,5 Mbps,y,45 bulan
581,KM0589,15 Mbps,y,45 bulan
582,KM0596,20 Mbps,n,45 bulan
583,KJ1844,5 Mbps,y,45 bulan
584,KM0595,5 Mbps,y,45 bulan
585,KJ1847,10 Mbps,y,45 bulan
586,KI1049,10 Mbps,n,45 bulan
587,KM0592,10 Mbps,y,45 bulan
588,KM0606,5 Mbps,y,45 bulan
589,KM0599,10 Mbps,y,45 bulan
590,KM0609,10 Mbps,y,45 bulan
591,KJ1860,5 Mbps,y,45 bulan
592,KM0611,10 Mbps,y,45 bulan
593,KM0619,5 Mbps,n,45 bulan
594,KM0621,10 Mbps,y,45 bulan
595,KI1070,5 Mbps,y,45 bulan
596,KI1071,20 Mbps,y,45 bulan
597,KM0632,5 Mbps,y,45 bulan
598,KM0636,10 Mbps,y,45 bulan
599,KM0594,10 Mbps,n,45 bulan
600,KJ1871,10 Mbps,y,45 bulan
601,KJ1872,10 Mbps,y,45 bulan
602,KI1082,5 Mbps,y,45 bulan
603,KJ1879,10 Mbps,y,45 bulan
604,KI1102,10 Mbps,n,45 bulan
605,KI1104,10 Mbps,y,45 bulan
606,KI1109,15 Mbps,y,45 bulan
607,KI1099,5 Mbps,y,45 bulan
608,KM0652,10 Mbps,y,45 bulan
609,KI1113,10 Mbps,y,45 bulan
610,KI1112,15 Mbps,y,45 bulan
611,KI1115,10 Mbps,y,44 bulan
612,KM0651,5 Mbps,y,44 bulan
613,KI1121,10 Mbps,y,44 bulan
614,KM0650,10 Mbps,y,44 bulan
615,KI1129,5 Mbps,y,44 bulan
616,KJ1897,5 Mbps,y,44 bulan
617,KI1139,10 Mbps,y,44 bulan
618,KM0662,5 Mbps,y,44 bulan
619,KJ1899,5 Mbps,y,44 bulan
620,KM0669,10 Mbps,y,44 bulan
