message,kode_user
"Selamat siang Bapak & Ibu,  Perkenalkan saya Stephen dari Honda MANDALASENA ingin menawarkan penawaran terbaik untuk pembelian New Honda Brio. Berikut perhitungan untuk Satya E  bulan ini:  💰 DP hanya 23 Jutaan* 💳 Cicilan *Rp 3.931.000,-* /bulan  *ATAU* 💰 DP hanya 14 JUTAAN* 💳 Cicilan *Rp 4.800.000,- an*/bulan   🎁 BONUS LANGSUNG: ✅ Kaca Film Premium Wincoss ✅ Free Jas servis 4th atau sampai dengan 50.000km ✅ Karpet + Talang Air ✅ FREE Paket Service Berkala (untuk Brio Satya Matic) ✅ Voucher Aksesoris Menarik  📆 Promo berlaku sampai 30 September 2025  🔥 KELEBIHAN BELI DI HONDA MANDALASENA: 🏠 Unit disimpan di gudang tertutup – bebas hujan, debu & panas langsung 🛞 Kualitas unit lebih terjaga saat sampai ke tangan Anda ⚙️ Proses cepat, unit ready stock ♻️ Terima Tukar Tambah 📋 Proses kredit dibantu sampai ACC  📌 Jika Bapak/Ibu sudah ada penawaran dari dealer lain, silakan bandingkan dengan kami — ✅   Kami pastikan bisa kasih penawaran yang LEBIH BAIK! September 2025  Ingin info lebih lanjut info mobil Honda atau simulasi cicilan, boleh menghubungi Stephen  Salam hangat, STEPHEN  0822 4564 2448",
Saya pake nya bank mandiri kak,AT0025
Oghee 👍 Kami tunggu,KM2492
Mau tanya masa aktif punya tetangga saya atas nama bu ninik tanggal berapa ya ?,KD0746
mau bayar di aplikasi kapten natatel lewat indomaret tapi kok gak bisa ya,"KD0123, KD1721"
Tampilan seperti ini ya kak,KD0198
Kenapa wifinya nyandet² ya ini?,JT0555
Baik terima kasih,
harga bulanan provider ini berapa,
mau nanya mas,
untuk pemasangan wifi,
ini gimana KK wafi sy kok ngelek2 trus,KP2255
mau buka mbking GK bisa,KP2255
Bisa minta keterangan utk paketannya,
"Pagi min, saya mau rekomendasi kan wifi naratel ke tetangga saya, apakah dapat potongan ?",KI0982
biaya wifi kapten naratel berapa an ya kak,
kalo buat di daerah polehan kota malang apakah bisa kak,
Saya kurang tau id-nya kak Rumah nya depan rumah saya,KD0746
soalnya orangnya nitip uang ke saya buat bayar,KD0746
Tks sudah lancar.....,
Sinyal Wifi sering hilang,KT1094
Tetap blm bisa,KD1271
"Siap, dah bisa kak. Terimakasih 🥹",KI3194
SDH bayar untk BLN nie kak,KP1184
ditunggu updatenya kak,KP1000
Please reconnect the service as soon as possible 🙏,KT0734
Selamat sore . Untuk kode pembayaran lewat Indomaret yang mana ?,JT0999
Maaf GK bisa download aplikasi ....apakah bisa bayar d Alfamart/ Indomaret,KJ0851
"bersrti harus 3, bulan ya",STKP0039
GK tabil kak wafinya ngelek terus,KP2255
mohon di bantu,KP2255
Soalnya tadi convirtualnya kok ganti lagi,KJ0851
Jadi salah lagi,KJ0851
cukup mas terima kasih,
Kok ngk bisa ya,KT1768
Alhamdulillah...udah ya 👆,KJ0851
Saya mau bayar,KT1768
Belum bisa wifi saya kak,
Ini yg terbaru,KT1768
Info norekening yang pasti untuk deposit,KM1631
"belum tau ya, kalau mau diambil perangkat nya juga gapapa",KD0035
"baik kak, terimakasih",STJT0013
bulan ke 4 dst 150rb?,STKP0039
Tidak ada ...Trimksh banyak🙏,KJ0851
"Waduh aku lupa,ini aku nebeng wifi tetangga,kok wifi naratel gak bisa otomatis ya",
ini pesannya di sini atau gimana kak?,STKP0039
Jl.R.A Kartini no.43A Rt.04 Rw.01 junwatu junrejo,KD0746
Takutnya masa aktif orangnya lebih dulu dari saya,KD0746
Besok aku TF 175 ribu,KN0552
"Terima kasih atas konfirmasi pembayaran Anda. Masa aktif layanan telah kami perpanjang  Untuk informasi mengenai tanggal masa aktif, silakan cek melalui tautan berikut: https://pembayaran.kaptennaratel.com/  Jika wifinya masih belum bisa, mohon untuk me-restart modemnya. Caranya cabut adaptor selama 10 detik kemudian tancapkan lagi. Tunggu -/+3menit, sampai internet normal kembali😊",KM1631
Ada wedding kak disni,KJ1390
Bank ing saya Mandiri,KM1631
Makin susah untuk deposit...kirim no rekening bank biasa,KM1631
ada kontak untuk daerah pasuruan?,STKP0039
Naik 3000 ya kak?,KT1372
Di tunggu min,
Maaf ini nomer VA utk.payment apa hanya bs dibyr lwt rek BCA saja?,KM2049
Wifinya gangguan kah ?,KM2098
Biasanya sy TF ke no.VA Briva,KM2049
Klo sy Tf dr rek bank lain ke nomer VA BCA itu bisa ndak?,KM2049
Kok skr cm ke BCA?,KM2049
Info pasang baru kak,
Ini sy br install applikasinya,KM2049
Oke” aku rundingkan dulu,KN0627
Sy TF ke nomer VA BCA pke mbanking Mandiri bisa ya,KM2049
"Saya ga punya BCA kak, adanya BRI dan Mandiri",KT1372
Soalnya terhubung tapi tidak ada akses internet keterangannya,KM2098
TLP melalui wa menghubungkan trus ...,KP2255
Ini nomer VA nya 15412000000000007384,KM2049
Apakah ada perbaikan wifi ya pak?,KD1034
Bener ya..panjang banget 🫣,KM2049
tp saya minta turunin,
Kirim no rekening saja biar ndak ribet seperti dulu,KM1631
Ok makasih..sy cb payment,KM2049
Ini br bikin akun di apps nya,KM2049
Alhamdulillah ok trims,KT1768
Aplikasinya modelan ovo ato dana ya 😄,KM2049
Bisa bantu cek kan tagihan saya kak,
Baik mbak ini masih belum bisa,
"Slamat malam min kok di setiao jm 6 sampe jm 7, 2 hari iki sering lemot ya ?",KP0439
"Bisa lewat website tidak? Kalau kebanyakan install aplikasi, HP bisa nge lag",KT1372
Kak... Itu pket superstar kok murah? Penasaran,KM2049
Iya kak terimakasih....sangat membantu...,KD0198
"Ngk ada, terimakasih banyak",KT1768
Kok ngk di bals chatnya,KT1879
Itu modem nya yg wireless?,KM2049
Koneksi internet kurang baik mbak,
Mau isi wifi kak,KT1606
Tolong kirim kan virtual account,KT1606
Id: Edwin Tassi,KT1606
Mau isi wifi kak,KT1606
"sebentar ya kak, sy masih coba satu2🙏🏻",STJT0013
Atas nama Asri Setyorini,KD1034
Mau rencana pasang,KP2273
Pasti saya tf,
Tetep pke kabel ya modem nya?,KM2049
Kapten naratel ya,KP2273
Apakah ada perbaikan wifi,KD1034
Selamat malam kak,KT1606
Tolong kirimkan account virtual,KT1606
Id: Edwin Tassi,KT1606
Kenapa smart tv saya nggak bisa connect ya?,STKN0016
Waduh mau kyke,KM2049
Di jm 6 sampe jm 7 sore tdk normal,KP0439
Di jm yg lain normal,KP0439
Oh gtu..paham deh..mkny kok murah  😄,KM2049
Kalau sudah gimana kak,KT1606
Smart tv nya aq pke kabel LAN.. Jd no lemot2..,KM2049
Mbak modem yg ziyad kost sebelah mana dan yasmin kos sebelah mana,
Paham deh sementara.. Makasih ya,KM2049
Ini di bagian apa,KI1738
Kok tidak sama dengan yang jalan jalan ya,
Maaf td belum baca,
Pak internet saya ko mati ya,
Terakhir byr tgl 30 agustus,
Yg ini maksudnya,
Nggk ada kak,KN0627
Ulang2 tidak berhasil,KM1631
Payment ID KM 2049,KM2049
Soalnya saya kirim pesan wa ke orang rumah tdk terkirim,KD1034
Pdahal wifinya nyala,KD1034
Saya sdg di luar,KD1034
mau nambah mbps apa bisa ya?,
dulu kan aslinya 10mbps kayaknya kak,
Sudah saya coba minta anak2 buat split mbak,
No VA BRP,KM1631
Ini teman saya mau pasang wifi,KP0128
Ini di hp saya juga gak connect,STKN0016
untuk wilayah kediri jawa timur bisa?,
Pak jaringan wifi nya kok lama loading nya,
gangguan kah mbak?,"KT0356, KT1515"
Selama ini lancar2 saja,KM1631
Bagaimana kalau kedaluwarsa kak?,KT1606
Barusan saya tinggal dr rumah nyala dan saya buat chat dr rumah bisa,KD1034
Ijin tanya  Untuk jumlah perangkat itu maksudnya untuk PC kah,
Kemarin malam connect,STKN0016
masih di cek mbak,"KT0356, KT1515"
Kan baru dipasang hari rabu kemarin,STKN0016
Misall 15 mpbs Hanya mampu menjangkau 2 perangkat   Begitu kah,
Lebih dari 2 perangkat tidak bisa kah,
"Yg saya lingkarin hijau pas di rumah, yg centang 1 pas keluar",KD1034
Masih sama kak,KT1606
Enno di tegalgondo,
Selamat siang kka Maaf mengganggu .ini bagaimana mau bayar wifi kka,KT2054
ini modem yg baru,"KT0356, KT1515"
"Bisa dibantu untuk mengisi datanya terlebih dahulu untuk memastikan area tercover atau belum, Kak 😊  Alamat Pemasangan: Jl.cemara gang 8 no.20 RT.003/RW008 Kelurahan: Bugul Lor Share location (wajib isi) :  Tahu Kapten Naratel darimana: Banner  Terima kasih 😊",KP2273
apa sudah aktif wifi nya,"KD0123, KD1721"
ini ada nyala merah,"KT0356, KT1515"
"Info Penting: - Pembayaran otomatis memperpanjang layanan tanpa konfirmasi. - Jika 20 menit setelah bayar belum ada notifikasi, hubungi CS. - VA BRI, Indomaret, Alfamart berubah tiap bulan. - VA BCA hanya bisa dibayar dari rekening BCA (tetap). - Total sudah termasuk biaya layanan. - BRIVA tidak dapat dibayar via Flip.",KM1631
Saya udah bayar kak,KT1372
Tapi statusnya masih kaya gini,KT1372
15mbps brpa harganya,KP2273
Mau bayar gih,KI2226
Met siang kak..,
Tadi mau bayar ke Indomaret rebet aplikasinya besok aja lewat BCA ya trimakasih,JT0999
Baik mbak tadi sudah saya suruh split,
"Kamar 1, 2, 3, 10, 11, 12 pake ziyad kost 2  Kamar 4, 5, 6, 7, 8, 9 pake yasmin kos",
Saya chat ke yg lain bisa,KD1034
"Iya kak, di sini id saya KT1372",KT1372
Wong hp nya nyala kok kak baru bbrp menit saya keluar,KD1034
Kak ini kok wifi saya lemot yaa,
HP an di dlm kamar aja udah lemot banget,
Pdhal kotak box wifi dekeett,
Mau bayar wifi,KI2226
Nanti ktmya dpt fe,KP0128
Wifinya kok gk bisa,KM1572
Lewat spay bisa?,KI2226
Hallo kak knp waifi nya tidak stabil,KM3123
Tp msh lemot,
Saya mau bayar bulanan kok gak bisa ya,JT0846
"Sementara begitu dulu mbak, jika ada kendala saya kabari ulang",
Sudah dicoba seperti ini kak,
gimana min apa bisa?,
Yang ini ya?,KI2226
Atau atas nama pelanggan?,
"Jaringan internet kok tdk bs stabil putus nyambung putus nyambung terus""an ini bagaimana",KM0817
Kok gaada spay?,KI2226
Katanya no kodenya ex,JT0846
Id Pelanggan itu berupa nomor kah?,
untuk biaya di awal nanti gimana? apa ada biaya sewa sama biaya pemasangan?,
Gapake VA BRI,KI2226
"selamat siang,saya pelanggan atas nama bambang pribadi mau bayar lewat VA bca tp kok ga bisa ya",KI1750
Yg ini ya,KI2226
Wifiny gk bisa k,KM1572
Kirim disini aja kak VA nya,KI2226
Tetep kan sama yang kemarin no BRIVA nya?,KI2226
Ribet bayar di apk nya,KI2226
Tetangga saya namanya Bu Ninik,KD0746
Wifi sudah seminggu lebih sering lemot mohon dibantu,KM0043
"Cara cancel Payment nya gimana, saya tadi coba pembayaran tunai tadi",KI2226
Dah berhasil ya,JT0846
Masih kedaluwarsa kak,KT1606
*Tonton Sang Ekosandi,
Soalnya barusan bisa kok,KD1034
"lampu nya merah kedip"" di loss",
Hallo kak knp waifi nya tidak stabil,KM3123
Untuk daerah VBT apa sudah cover?,KI3378
Ini saya yg bayar anak saya kok gak bisa ya,JT0846
Tonton sang ekosandi,
120k ya kak?,KI2226
Tidak ada keterangan nya,KI2226
Tagihan 0 rp,KI2226
Dibuat download aplikasi liat video fb lemot jg,KM0043
Berarti kenapa itu kak,KD1034
baik kak terimakasih,KT1606
Harus bagaimana lantas,KI2226
Tetap tidak ada tagihannya kak,KI2226
Oke ini ya,KI2226
Minta tolong ya,KD1034
Malam mbak.hari ini saya update yg 5 Mbps ya mba,KM2866
Kk klo mw ganti paswod wifi gmn,KM2319
jadi misal menjadi 10mbps itu harganya sama apa engga min?,
ini untuk perangkat max 10 perangkat kak?,STKP0039
terus kalau nambah sekarang apa gabisa ya?,
Kak minta link pembayaran,
tgl 15 kak jadinya,STKP0039
Mau bayar kak,
Iyaa kak..saya save no id nya,
bedanya sama ini apa kak,STKP0039
Alamat Pemasangan:jln joyosuko gg 3 Kelurahan:merjosari Share location:joyosuko Tahu Kapten Naratel darimana:ig,
Saya minta VA BRI,"KM0079, KM0192"
"Ok, lalu jadi saya harus bagaimana?",KI0982
Ini ada tetangga saya yg tertarik,KI0982
oalah beda ya kak,
korain harganya sama min,
Can you please share the information to pay the internet...i forgot the bank account number,KT0734
Wifinya blm bisa?,
Untuk kecepatan 15 mbois itu seperti apa? Apakah untuk streaming Netflix bisa?,KI3378
Apakah dibatasi jumlah device yg terhubung ?,KI3378
berlaku sampai kapan kak,
Hasilnya masi belum ada kak,
Kalau ada kami kabari segera,
Kak lemot banget ini kenapa ya?,KT2075
"Misal saya Ok besok, pemasangan kapan?",KI3378
Ga kek biasanya,KT2075
"misi min, wifinya lag lagi id pelanggan kt1080",
Tolong yg tidak mengunduh,"KM0079, KM0192"
Ini internetnya lemot bgt kak,KT2075
Jam berapa ya kak kira kira tidak bisa men akses jaringan nya?,KJ0847
Udh saya restart router pdhl,KT2075
Apakah tanggal 24 pukul 00.00 atau tanggal 23 pukul 00.00?,KJ0847
Mau nanya dlu,
Paketannya apa saja ya?,
better sih kak. tp gak kyk biasanya,KT2075
Lupa nama panjangnya kak 🙏 Alamatnya jl.diponegoro no.56 rt.04 rw 01 junrejo  Apa ada namanya Bu ninik kak ?,KD0746
oke coba saya test dulu.. nnti kalo lemot saya coba restart router lagi,KT2075
Terus gimana kak,KD1034
udh naek kak. makasih ya kak. sehat selalu,KT2075
Saya gabisa hubungi orang rumah,KD1034
Sampai kapan ini,KD1034
"Ok, besok saya kabari ya",KI3378
Jl papa2 lokasinya,
tanpa fup kan ya,STKP0039
jadi kalau yg 150rb ini 10 perangkat kalau melebihi 10 gabisa ya kak,STKP0039
login username pasword ini di google atau gmn kak?,STKP0039
Bisa share utk rekening BCA,KM2866
Info pemasangan berapa mbak,
Jln sudimoro utara no 48 kelurahan mojolangu rt 02 rw 17,
Ya sudah besok saja lah saya bayar cash,"KM0079, KM0192"
10mbps itu kenceng kah,KP2273
"ga nentu min, kadang lancar bgt kadang lag bgt",
Tadi sudah saya sampaikan ke mbak cs tolong dong mbak metode pembayaran jangan berubah2 terussss,"KM0079, KM0192"
Saya yg menyesuaikan nih lho riwehhhhh,"KM0079, KM0192"
"gitu ya, oke deh min makasi",
Kalau sudah aktif mohon d info ya,KM2866
Terima kasih telah menghubungi sate sangkolan. Silakan beri tahu apa yang bisa kami bantu.,KI1353
"Mau klik Turbo, dimana ya didalam aplikasinya, Belum nemu☺️",
Jam 1 hanya ada 2,STKN0016
ok siap min,KT1895
"Terima kasih atas perhatian anda. Kami akan merespons pesan ini beberapa saat lagi.   *SIDICOM SOLUSINDO*  📍Alamat dan Lokasi _Jl. Jambu No.I / 01, Semanding, Sumbersekar, Kec. Dau, Kabupaten Malang, Jawa Timur 65151_  https://maps.app.goo.gl/KDZSJYtJCsduTD4q7",KT1895
klo VA BRI apa sudah ga bisa ya kak?,JT0677
Hp dan TV,STKN0016
baik kak terimakasih😁,
Oke.akan saya coba,KM2866
"Selamat siang, kak kalo mau berhenti berlangganan bagaimana prosedurnya ?",KT0280
Internetnya masih loading,KM2866
Itu harga flat tiap bulan ?,KP2273
"Selamat malam , apakah  nomor Pembayaran VA BRI ?",KN0133
"Saya mau membayar pakai VA bri , bagaimana caranya ?",KN0133
"Ok kak, sdh selesai pembayaran nya",KT1288
untuk nomer briva nya berapa ya kak?,JT0677
Udah saya restart,KM2866
Untuk awal pemasangan brapa,KP2273
Minta VA bri nya kak,KT1288
"sudah gak mumpuni kak, jadi mau ganti.. bagaimana prosedurnya ?",KT0280
Bayar pake bni gabisa?,
Id pelanggan itu kenapa tidak busa dibayar?,
Sudah bisa ka,KM2866
Terima kasih ya,KM2866
1 hp dan 1 TV,STKN0016
"Di App kok blm ter update ya kak,",KT1288
Pak jaringan wifi nya kok lama loading nya,
Maksudnya jam sekarang,STKN0016
Sudah ga pake bri ?,JT0611
Tau gitu td saya pakai kuota,KD1034
Yg ini yg 30 Mbps,
"Min ini kalo ganti pengguna gimana? Kebetulan saya sudah pindah rumah, kontrakan yang lama mau neruskan wifi,",JT0611
Sudah saya masukkan berkali kali via m-banking BRI tetapi no.VA tetep gagal..mohon dibantu,KN0133
Ok nanti biar di wa ya,JT0611
Trima kasih kak,KN0133
Minta kode pembayaran lewat indomaret kak,KT0905
Pembayaran bulan ini kak,KT1879
maaf kak kata masnya yg kemarin kesini App store masih belom bisa,KI1750
Sudah bisa kak ..barusan sudah membayar🙏🏻👍🏻,KN0133
Saya aja wa orang rumah gabisa,KD1034
Maaf kemahalan utk yg 20 mbps,STKN0016
Loh kenapa ini bisa lebih murah ?,STKN0016
"Kak, mohon dibantu mengisi data pemasangan terlebih dahulu untuk saya bantu daftarkan😊  Nama: ida royani No. Telepon: 081 805100041 Alamat Pemasangan: jln slamet Kelurahan: cemorokandang Paket: paket 5mbps Foto KTP: Foto Tampak Depan Rumah: Tahu Kapten Naratel dari Mana: teman  Terima kasih 😊",JT0481
Bukti pembayaran pelanggan dg ID. KI1973.,KI1973
Untuk loginya saya lupa id dan pass nya kak  ? Apa bisa di bantu,KJ1557
"Mf itu ada ditoko sblh Timur kodim n skrg tutup, mmg kt yg jaga toko kadang2 mati / sinyal tiba2 hilang...klo ke toko pg sj jam 9 smpe jm 5 sore",KP1136
Bisa minta gambar modemnya?,STKN0016
Ke nomor ini ya kak  082229852889,KP1490
Apakah va bri sdh tidak bisa?,JT0183
Mau ganti nomer kak jadi kalau mau wa ke nomor yang satunya,KP1490
selamat siang kakk,
Ini modemnya bisa dibawa mobile ?,STKN0016
Modem itu yg kayak gini kan ya ?,STKN0016
"permisi, wifinya tidak bisa nyambung kira-kira kenapa ya",KI1112
"sudahh min, pas dicoba nyambung masih begituu",KI1112
Sudah kak terimakasih,KP1490
Iya nih tak coba,AT0025
Kenapa wifi tidak ada koneksi setelah pembayaran,KT1961
"Maaap fotonya besok pagi aja ya, soalnya modem saya diluar",STKN0016
Oh iya kalo mau paket superstar 30 mbps  Brarti :  10 perangkat yg bisa connect Modem bayar 300rb Free instalasi,STKN0016
Oh iya 6,STKN0016
Nomor ini sedang mengalami pembatasan oleh WhatsApp sehingga ada batasan untuk membalas pesan yang masuk.  *🛑Silakan hubungi Customer Service kami dinomor WhatsApp berikut :*  📱+62 882-1202-2222  📱+62 882-1203-3333  Kami berkomitmen segera menyelesaikan kendala ini agar komunikasi tetap lancar tanpa pergantian nomor yang membuat bingung  sobat kapten.   Mohon maaf atas ketidaknyamanan yang terjadi 🙏🏻,
Sudah kak tapi msih belum jadi,KT1961
Kalo deal bisa dipasang kapan ya?,STKN0016
Saya buka briva terus bingung nyarinya,AT0025
Bisa smart Tv,STKN0016
Cuman butuh utk 6 hp dan smart TV,STKN0016
Bayar pada saat pemasangan?,STKN0016
No rek biasa ada gak kak,AT0025
Oh gitu ya,STKN0016
Apa namanya kak di briva nya,AT0025
Kalo dari mandiri,AT0025
Tadi pembayaran lewat indomaret. Di aplikasi juga status pembayaran nya berhasil,KT1961
Penyedia nya apa namanya kak,AT0025
Baiklah besok pagi saya fotokan punya saya dulu ya,STKN0016
Tidak warna merah,KT1961
Pembayaran awal pemasangan ini utk modem yg 300rb ?,STKN0016
Setelah itu nanti saya lanjutkan alurnya,STKN0016
Terima kasih infonya,STKN0016
Wah menarik ini,STKN0016
Saya mau kalo langsung 3 bulan free modem,STKN0016
Yg 100 mbps,STKN0016
150rb x 3 ya?,STKN0016
Brti melalui website kapten natarel ya min,JT0183
Kak saya sudah bayar kenapa wifi tetap tidak aktif,KI2414
ini gimana ya kakm,
Iya  Saya ngambil yg 5 mbps harga 120 rb,
Jadi gimana kak,KT1961
100 mbps utk 10 perangkat Free modem Free instalasi Langsung 3bln pembayaran Hanya bisa smart Tv,STKN0016
Memang gak bisa kak,AT0025
"nggak merah min, barusan ini udah bisa tp lemot ya...",KI1112
Saya coba berkali kali gak bisa,AT0025
No rek biasa ajja kak,AT0025
Saya berkali kali gak bisa,AT0025
Ok Saya nggak pake cctv,STKN0016
"baik min, terimakasih",KI1112
Saya install dulu,AT0025
"sudah balik lagi min, terimakasih banyak",KI1112
Id nya tidak di temukan kak,AT0025
Saya udah isi link daftar,STKN0016
Lha ini yg belum😆,STKN0016
"Saya dapat info dari iklan, Ada paket apa saja?",
Iya toko sy cm yg jg tmn sy...nmx p.jess,KP1136
Daerah wendit bisa kak?,
Briva apa maksudnya,
Gaada dimana milihnya,
Masih blum berarti ya?,
sudah gak bisa dipake buat banyak orang kak,KT0280
butuh yg lebih besar,KT0280
Admin sampai brpa tiap bulannya,KP2273
Pembayaran ikut bulan depannya atau bagaimana kalau awal,KP2273
Daftar dulu berarti kak ya,KJ1557
Kalau ganti paket 30 mbps,KM2000
Gak paham kak,KI1738
Kalo bayar melalui alfamart kode nya kk,KM3636
Halo masih lama kah,KM3636
Kalo bayar di alfamart kode nya kk,KM3636
Sudah ya kk,KM3636
Apa dah bisa wifi nya kk,KM3636
Bisa isi sekarang ya?,KT1879
gabisa kak kodenya,KD1832
Ok kalau bisa apa besok bisa dipasang,KP2273
Wifi mati kak,KD0568
Oke kak terimakasih,KJ1557
"Saya kesulitan untuk membayar tagihan,",KT0964
Dengan metode yg baru,KT0964
"Untuk paket superstar 15/Mbps, 99rb/bulan Itu flat selamanya ato saat promo kak? misal 1tahun pertama selanjutnya harga berbeda?",
"Ap ad biaya lain"" kak? Misal biaya sewa modem, beli modem, dll.",
"Dear Pelanggan Kapten Dwi Wulandari,  Terima kasih telah melakukan perpanjangan masa aktif wifi di Mitra Bayar sps.  ID Pelanggan   : KT0964 Nama Pelanggan  : Dwi Wulandari Paket Layanan   : 5 Masa aktif berlaku sampai : 22-August-2025  Terima kasih atas kepercayaan Anda menggunakan layanan kami.",KT0964
Mohon di bantu untuk cara pembayaran dengan metode yg baru,KT0964
"enggak kak, mau berhenti langganan aja",KT0280
Knpa si kok gaada va nya bni ribet bsnget tiap mau bayar ini,
Terimakasih telah di bantu,KT0964
Maaaf saya ketiduran,STKN0016
Permisi mau konfirmasi ini kenapa ya,JT1053
Wifi di rumah ada gangguan a/n edy tjahjono  jl.taman indrakila 21 pasuruan  tks,
Jadi u/ paket superstar 15 Mbps perbulannya bayar brp kak? (Dgn biaya layananya),
Ini no vanya mana ???,
"Gk klytn sih, wifi nya di atas",KD0568
No VA indomaret brp?,KT1885
Tp tiba2 mati tidak ada internet,KD0568
Putus aja deh gajelas banget gaada solusinya ini,
"Layanan internet kami bermasalah : Dr.H . Ludi Wishnu Wardana, ST. SE. SPd. MM. Hp. 08123578267 D/a Perumahan La Tansa Cluster  Jl. Tirto Joyo No.30 Blok B5,  Merjosari, Kec. Lowokwaru, Kota Malang, Jawa Timur   65144","KI1033, KI1166"
15mbps 99.000/bln ya kak? Itu sdh trmasuk biaya layanan y?,
Gimana ini kak? Kami segera butuh wifi nya,KI1738
Dudah saya bayar  di kantor,KD1282
Internet error lagi,KT1089
Saya gagal melakukan pembayaran,KD1713
"Aduh..bgm cara bayarnya ya, nggak bisa pakai aplikasi",GJ0357
"Alamat Pemasangan:Dusun Karang Panas, Jalan Balai Desa Kalirejo Karang Panas No.40,rt:02rw:01",
untuk keperluan pribadi saja kak. Untuk perbedaan paket reguler dan superstar apa ya kak?,STKP0036
Ninik susiowati Apa ninik sulistyowati gtu,KD0746
"Ini dulu yg daftar atas nama anak, sekarang anaknya di Jepang",GJ0357
Sementara bisa bayar pakai cara biasa? Transfer?,GJ0357
Kalau susah apa saya berhenti berlangganan ya? Atau ada solusi?,GJ0357
Iya ini anak saya,GJ0357
"Kak, kalo misal ganti layanan atau paket ke yang 99rb/bulan bisa kah?",KT1763
Ini daftarnya pakai nama dan email saya ibunya atau pakai nama anak saya ya?,GJ0357
"Oke kak, ditunggu kak",KT1763
Sementara saya bayar Pakai ini dulu,GJ0357
"Slmt pagi. Mohon petunjuk ttg cara pembayaran yg baku. Virtual Account ""154.....607 - SPARKPAY"" nya mungkin error. Setiap melakukan akses utk pembayaran, selalu gagal dg muncul ""(02) Tagihan kedaluarsa"" Trmkasih. (ID Pelanggan KD1612) Nama pelanggan : Imam Sudjono.",KD1612
Ow gt ok kak tq infonya,KI0840
Utk pelanggan ada promo ga kak klu utk tambah mbps?,KI0840
"Maaf saya orang tua gak ngerti yang macem"" 🙏🙏",JT0374
"Saya dapat info dari iklan, Ada paket apa saja?",
"Kalo susah operasional nya, kami kecewa ini",KI1738
